,speaker,dialogue,sentences,sentiment,entities,tokens,num_pron,total_sent,speaker_prev,speaker_next,nearbyChars
0,Announcer,[first lines; announcement over speaker] Report to your stations immediately. This is not a drill. We are under attack. We are under attack.,"[{'content': u'[first lines; announcement over speaker] Report to your stations immediately.', 'begin': 0, 'score': -0.6, 'magnitude': 0.6}, {'content': u'This is not a drill.', 'begin': 78, 'score': -0.6, 'magnitude': 0.6}, {'content': u'We are under attack.', 'begin': 99, 'score': 0.1, 'magnitude': 0.1}, {'content': u'We are under attack.', 'begin': 120, 'score': 0.1, 'magnitude': 0.1}]","{'score': -0.2, 'magnitude': 1.6}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.35250518, 'name': u'lines', 'mentions': [u'lines']}, {'type': u'EVENT', 'meta': {}, 'salience': 0.15600722, 'name': u'announcement', 'mentions': [u'announcement']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.15600722, 'name': u'speaker', 'mentions': [u'speaker']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.107120395, 'name': u'Report', 'mentions': [u'Report']}, {'type': u'LOCATION', 'meta': {}, 'salience': 0.107120395, 'name': u'stations', 'mentions': [u'stations']}, {'type': u'EVENT', 'meta': {}, 'salience': 0.050390895, 'name': u'drill', 'mentions': [u'drill']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.040930253, 'name': u'attack', 'mentions': [u'attack']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.029918449, 'name': u'attack', 'mentions': [u'attack']}, {'mentions': [u'your'], 'type': 'PERSON', 'name': 'narrator'}, {'mentions': [u'We', u'We'], 'type': 'PERSON', 'name': 'Announcer'}, {'mentions': [u'We', u'We'], 'type': 'PERSON', 'name': 'Tony Stark'}, {'mentions': [u'We', u'We'], 'type': 'PERSON', 'name': 'Clint Barton'}, {'mentions': [u'We', u'We'], 'type': 'PERSON', 'name': 'Thor'}]","[{'index': 2, 'begin': 0, 'pos': u'PUNCT', 'label': u'P', 'content': u'[', 'lemma': u'['}, {'index': 2, 'begin': 1, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'first', 'lemma': u'first'}, {'index': 2, 'begin': 7, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'lines', 'lemma': u'line'}, {'index': 2, 'begin': 12, 'pos': u'PUNCT', 'label': u'P', 'content': u';', 'lemma': u';'}, {'index': 2, 'begin': 14, 'pos': u'NOUN', 'label': u'DEP', 'content': u'announcement', 'lemma': u'announcement'}, {'index': 4, 'begin': 27, 'pos': u'ADP', 'label': u'PREP', 'content': u'over', 'lemma': u'over'}, {'index': 8, 'begin': 32, 'pos': u'NOUN', 'label': u'NN', 'content': u'speaker', 'lemma': u'speaker'}, {'index': 8, 'begin': 39, 'pos': u'PUNCT', 'label': u'P', 'content': u']', 'lemma': u']'}, {'index': 5, 'begin': 41, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Report', 'lemma': u'Report'}, {'index': 4, 'begin': 48, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 11, 'begin': 51, 'pos': u'PRON', 'label': u'POSS', 'content': u'your', 'lemma': u'your', 'char': ['narrator']}, {'index': 9, 'begin': 56, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'stations', 'lemma': u'station'}, {'index': 4, 'begin': 65, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'immediately', 'lemma': u'immediately'}, {'index': 2, 'begin': 76, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 15, 'begin': 78, 'pos': u'DET', 'label': u'NSUBJ', 'content': u'This', 'lemma': u'This'}, {'index': 15, 'begin': 83, 'pos': u'VERB', 'label': u'ROOT', 'content': u'is', 'lemma': u'be'}, {'index': 15, 'begin': 86, 'pos': u'ADV', 'label': u'NEG', 'content': u'not', 'lemma': u'not'}, {'index': 18, 'begin': 90, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 15, 'begin': 92, 'pos': u'NOUN', 'label': u'ATTR', 'content': u'drill', 'lemma': u'drill'}, {'index': 15, 'begin': 97, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 21, 'begin': 99, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'We', 'lemma': u'We', 'char': ['Announcer', 'Clint Barton', 'Thor', 'Tony Stark']}, {'index': 21, 'begin': 102, 'pos': u'VERB', 'label': u'ROOT', 'content': u'are', 'lemma': u'be'}, {'index': 21, 'begin': 106, 'pos': u'ADP', 'label': u'PREP', 'content': u'under', 'lemma': u'under'}, {'index': 22, 'begin': 112, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'attack', 'lemma': u'attack'}, {'index': 21, 'begin': 118, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 26, 'begin': 120, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'We', 'lemma': u'We', 'char': ['Announcer', 'Clint Barton', 'Thor', 'Tony Stark']}, {'index': 26, 'begin': 123, 'pos': u'VERB', 'label': u'ROOT', 'content': u'are', 'lemma': u'be'}, {'index': 26, 'begin': 127, 'pos': u'ADP', 'label': u'PREP', 'content': u'under', 'lemma': u'under'}, {'index': 27, 'begin': 133, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'attack', 'lemma': u'attack'}, {'index': 26, 'begin': 139, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",3,-0.32,,narrator,"['Tony Stark' 'Clint Barton' 'narrator' 'Natasha Romanoff' 'narrator'
 'Thor' 'JARVIS' 'Steve Rogers' 'Tony Stark' 'narrator' 'Announcer' nan nan
 nan nan nan nan nan nan nan nan]"
1,narrator,the Avengers are in the process of infiltrating a HYDRA base in Sokovia,"[{'content': u'the Avengers are in the process of infiltrating a HYDRA base in Sokovia', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'type': u'PERSON', 'meta': {u'mid': u'/m/01twlh', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Avengers_(comics)'}, 'salience': 0.47595453, 'name': u'Avengers', 'mentions': [u'Avengers']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.24474923, 'name': u'process', 'mentions': [u'process']}, {'type': u'LOCATION', 'meta': {}, 'salience': 0.15438622, 'name': u'base', 'mentions': [u'base']}, {'type': u'OTHER', 'meta': {u'mid': u'/m/0n15g8q', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Avengers:_Age_of_Ultron'}, 'salience': 0.071309194, 'name': u'Sokovia', 'mentions': [u'Sokovia']}, {'type': u'ORGANIZATION', 'meta': {u'mid': u'/m/05f4yf', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Hydra_(comics)'}, 'salience': 0.05360083, 'name': u'HYDRA', 'mentions': [u'HYDRA']}]","[{'index': 1, 'begin': 0, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 2, 'begin': 4, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Avengers', 'lemma': u'Avengers'}, {'index': 2, 'begin': 13, 'pos': u'VERB', 'label': u'ROOT', 'content': u'are', 'lemma': u'be'}, {'index': 2, 'begin': 17, 'pos': u'ADP', 'label': u'PREP', 'content': u'in', 'lemma': u'in'}, {'index': 5, 'begin': 20, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 3, 'begin': 24, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'process', 'lemma': u'process'}, {'index': 5, 'begin': 32, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 6, 'begin': 35, 'pos': u'VERB', 'label': u'PCOMP', 'content': u'infiltrating', 'lemma': u'infiltrate'}, {'index': 10, 'begin': 48, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 10, 'begin': 50, 'pos': u'NOUN', 'label': u'NN', 'content': u'HYDRA', 'lemma': u'HYDRA'}, {'index': 7, 'begin': 56, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'base', 'lemma': u'base'}, {'index': 10, 'begin': 61, 'pos': u'ADP', 'label': u'PREP', 'content': u'in', 'lemma': u'in'}, {'index': 11, 'begin': 64, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Sokovia', 'lemma': u'Sokovia'}]",0,0.01,Announcer,Tony Stark,"['Steve Rogers' 'Tony Stark' 'Clint Barton' 'narrator' 'Natasha Romanoff'
 'narrator' 'Thor' 'JARVIS' 'Steve Rogers' 'Tony Stark' 'narrator'
 'Announcer' nan nan nan nan nan nan nan nan nan]"
2,Tony Stark,Shit!,"[{'content': u'Shit!', 'begin': 0, 'score': -0.6, 'magnitude': 0.6}]","{'score': -0.6, 'magnitude': 0.6}",[],"[{'index': 0, 'begin': 0, 'pos': u'X', 'label': u'ROOT', 'content': u'Shit', 'lemma': u'Shit'}, {'index': 0, 'begin': 4, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]",0,-0.36,narrator,Steve Rogers,"['narrator' 'Steve Rogers' 'Tony Stark' 'Clint Barton' 'narrator'
 'Natasha Romanoff' 'narrator' 'Thor' 'JARVIS' 'Steve Rogers' 'Tony Stark'
 'narrator' 'Announcer' nan nan nan nan nan nan nan nan]"
3,Steve Rogers,"Language! JARVIS, what's the view from upstairs?","[{'content': u'Language!', 'begin': 0, 'score': -0.1, 'magnitude': 0.1}, {'content': u""JARVIS, what's the view from upstairs?"", 'begin': 10, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0.1}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.7599061, 'name': u'Language', 'mentions': [u'Language']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.18917266, 'name': u'JARVIS', 'mentions': [u'JARVIS']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.050921246, 'name': u'view', 'mentions': [u'view']}]","[{'index': 0, 'begin': 0, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Language', 'lemma': u'Language'}, {'index': 0, 'begin': 8, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}, {'index': 5, 'begin': 10, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'JARVIS', 'lemma': u'JARVIS'}, {'index': 5, 'begin': 16, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 5, 'begin': 18, 'pos': u'PRON', 'label': u'ATTR', 'content': u'what', 'lemma': u'what'}, {'index': 5, 'begin': 22, 'pos': u'VERB', 'label': u'ROOT', 'content': u""'s"", 'lemma': u'be'}, {'index': 7, 'begin': 25, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 5, 'begin': 29, 'pos': u'NOUN', 'label': u'ATTR', 'content': u'view', 'lemma': u'view'}, {'index': 7, 'begin': 34, 'pos': u'ADP', 'label': u'PREP', 'content': u'from', 'lemma': u'from'}, {'index': 8, 'begin': 39, 'pos': u'ADV', 'label': u'POBJ', 'content': u'upstairs', 'lemma': u'upstairs'}, {'index': 5, 'begin': 47, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",0,0.0,Tony Stark,JARVIS,"['Steve Rogers' 'narrator' 'Steve Rogers' 'Tony Stark' 'Clint Barton'
 'narrator' 'Natasha Romanoff' 'narrator' 'Thor' 'JARVIS' 'Steve Rogers'
 'Tony Stark' 'narrator' 'Announcer' nan nan nan nan nan nan nan]"
4,JARVIS,The central building is protected by some kind of energy shield. Strucker's technology is well beyond any other Hydra base we've taken.,"[{'content': u'The central building is protected by some kind of energy shield.', 'begin': 0, 'score': 0.7, 'magnitude': 0.7}, {'content': u""Strucker's technology is well beyond any other Hydra base we've taken."", 'begin': 65, 'score': 0.7, 'magnitude': 0.7}]","{'score': 0.7, 'magnitude': 1.5}","[{'type': u'LOCATION', 'meta': {}, 'salience': 0.47500995, 'name': u'building', 'mentions': [u'building']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.15592223, 'name': u'energy shield', 'mentions': [u'energy shield']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.15041362, 'name': u'kind', 'mentions': [u'kind']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.08596591, 'name': u'technology', 'mentions': [u'technology']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.050935157, 'name': u'Strucker', 'mentions': [u'Strucker']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.050474778, 'name': u'base', 'mentions': [u'base']}, {'type': u'ORGANIZATION', 'meta': {u'mid': u'/m/05f4yf', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Hydra_(comics)'}, 'salience': 0.03127835, 'name': u'Hydra', 'mentions': [u'Hydra']}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Announcer'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'JARVIS'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Steve Rogers'}]","[{'index': 2, 'begin': 0, 'pos': u'DET', 'label': u'DET', 'content': u'The', 'lemma': u'The'}, {'index': 2, 'begin': 4, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'central', 'lemma': u'central'}, {'index': 4, 'begin': 12, 'pos': u'NOUN', 'label': u'NSUBJPASS', 'content': u'building', 'lemma': u'building'}, {'index': 4, 'begin': 21, 'pos': u'VERB', 'label': u'AUXPASS', 'content': u'is', 'lemma': u'be'}, {'index': 4, 'begin': 24, 'pos': u'VERB', 'label': u'ROOT', 'content': u'protected', 'lemma': u'protect'}, {'index': 4, 'begin': 34, 'pos': u'ADP', 'label': u'PREP', 'content': u'by', 'lemma': u'by'}, {'index': 7, 'begin': 37, 'pos': u'DET', 'label': u'DET', 'content': u'some', 'lemma': u'some'}, {'index': 5, 'begin': 42, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'kind', 'lemma': u'kind'}, {'index': 7, 'begin': 47, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 10, 'begin': 50, 'pos': u'NOUN', 'label': u'NN', 'content': u'energy', 'lemma': u'energy'}, {'index': 8, 'begin': 57, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'shield', 'lemma': u'shield'}, {'index': 4, 'begin': 63, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 14, 'begin': 65, 'pos': u'NOUN', 'label': u'POSS', 'content': u'Strucker', 'lemma': u'Strucker'}, {'index': 12, 'begin': 73, 'pos': u'PRT', 'label': u'PS', 'content': u""'s"", 'lemma': u""'s""}, {'index': 15, 'begin': 76, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'technology', 'lemma': u'technology'}, {'index': 15, 'begin': 87, 'pos': u'VERB', 'label': u'ROOT', 'content': u'is', 'lemma': u'be'}, {'index': 17, 'begin': 90, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'well', 'lemma': u'well'}, {'index': 15, 'begin': 95, 'pos': u'ADP', 'label': u'PREP', 'content': u'beyond', 'lemma': u'beyond'}, {'index': 21, 'begin': 102, 'pos': u'DET', 'label': u'DET', 'content': u'any', 'lemma': u'any'}, {'index': 21, 'begin': 106, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'other', 'lemma': u'other'}, {'index': 21, 'begin': 112, 'pos': u'NOUN', 'label': u'NN', 'content': u'Hydra', 'lemma': u'Hydra'}, {'index': 17, 'begin': 118, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'base', 'lemma': u'base'}, {'index': 24, 'begin': 123, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'we', 'lemma': u'we', 'char': ['JARVIS', 'Announcer', 'Steve Rogers']}, {'index': 24, 'begin': 125, 'pos': u'VERB', 'label': u'AUX', 'content': u""'ve"", 'lemma': u'have'}, {'index': 21, 'begin': 129, 'pos': u'VERB', 'label': u'RCMOD', 'content': u'taken', 'lemma': u'take'}, {'index': 15, 'begin': 134, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",1,1.05,Steve Rogers,Thor,"['Strucker' 'Steve Rogers' 'narrator' 'Steve Rogers' 'Tony Stark'
 'Clint Barton' 'narrator' 'Natasha Romanoff' 'narrator' 'Thor' 'JARVIS'
 'Steve Rogers' 'Tony Stark' 'narrator' 'Announcer' nan nan nan nan nan nan]"
5,Thor,Loki's scepter must be here. Strucker couldn't mount this defense without it. At long last.,"[{'content': u""Loki's scepter must be here."", 'begin': 0, 'score': 0.3, 'magnitude': 0.3}, {'content': u""Strucker couldn't mount this defense without it."", 'begin': 29, 'score': -0.1, 'magnitude': 0.1}, {'content': u'At long last.', 'begin': 78, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.6}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.54812527, 'name': u'scepter', 'mentions': [u'scepter']}, {'type': u'PERSON', 'meta': {u'mid': u'/m/05pnb1', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Loki_(comics)'}, 'salience': 0.32683694, 'name': u'Loki', 'mentions': [u'Loki']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.07218919, 'name': u'defense', 'mentions': [u'defense']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.05284858, 'name': u'Strucker', 'mentions': [u'Strucker']}]","[{'index': 2, 'begin': 0, 'pos': u'NOUN', 'label': u'POSS', 'content': u'Loki', 'lemma': u'Loki'}, {'index': 0, 'begin': 4, 'pos': u'PRT', 'label': u'PS', 'content': u""'s"", 'lemma': u""'s""}, {'index': 4, 'begin': 7, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'scepter', 'lemma': u'scepter'}, {'index': 4, 'begin': 15, 'pos': u'VERB', 'label': u'AUX', 'content': u'must', 'lemma': u'must'}, {'index': 4, 'begin': 20, 'pos': u'VERB', 'label': u'ROOT', 'content': u'be', 'lemma': u'be'}, {'index': 4, 'begin': 23, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'here', 'lemma': u'here'}, {'index': 4, 'begin': 27, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 10, 'begin': 29, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Strucker', 'lemma': u'Strucker'}, {'index': 10, 'begin': 38, 'pos': u'VERB', 'label': u'AUX', 'content': u'could', 'lemma': u'could'}, {'index': 10, 'begin': 43, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 10, 'begin': 47, 'pos': u'VERB', 'label': u'ROOT', 'content': u'mount', 'lemma': u'mount'}, {'index': 12, 'begin': 53, 'pos': u'DET', 'label': u'DET', 'content': u'this', 'lemma': u'this'}, {'index': 10, 'begin': 58, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'defense', 'lemma': u'defense'}, {'index': 10, 'begin': 66, 'pos': u'ADP', 'label': u'PREP', 'content': u'without', 'lemma': u'without'}, {'index': 13, 'begin': 74, 'pos': u'PRON', 'label': u'POBJ', 'content': u'it', 'lemma': u'it'}, {'index': 10, 'begin': 76, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 16, 'begin': 78, 'pos': u'ADP', 'label': u'ROOT', 'content': u'At', 'lemma': u'At'}, {'index': 18, 'begin': 81, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'long', 'lemma': u'long'}, {'index': 16, 'begin': 86, 'pos': u'ADV', 'label': u'POBJ', 'content': u'last', 'lemma': u'last'}, {'index': 16, 'begin': 90, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,0.06,JARVIS,narrator,"['Fortress Soldier' 'Strucker' 'Steve Rogers' 'narrator' 'Steve Rogers'
 'Tony Stark' 'Clint Barton' 'narrator' 'Natasha Romanoff' 'narrator'
 'Thor' 'JARVIS' 'Steve Rogers' 'Tony Stark' 'narrator' 'Announcer' nan nan
 nan nan nan]"
6,narrator,Natasha knocks out some soldiers,"[{'content': u'Natasha knocks out some soldiers', 'begin': 0, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 0.2}","[{'type': u'PERSON', 'meta': {}, 'salience': 0.7605054, 'name': 'Natasha Romanoff', 'mentions': [u'Natasha']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.23949464, 'name': 'Soldiers', 'mentions': [u'soldiers']}]","[{'index': 1, 'begin': 0, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Natasha', 'lemma': u'Natasha'}, {'index': 1, 'begin': 8, 'pos': u'VERB', 'label': u'ROOT', 'content': u'knocks', 'lemma': u'knock'}, {'index': 1, 'begin': 15, 'pos': u'PRT', 'label': u'PRT', 'content': u'out', 'lemma': u'out'}, {'index': 4, 'begin': 19, 'pos': u'DET', 'label': u'DET', 'content': u'some', 'lemma': u'some'}, {'index': 1, 'begin': 24, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'soldiers', 'lemma': u'soldier'}]",0,0.04,Thor,Natasha Romanoff,"['Strucker' 'Fortress Soldier' 'Strucker' 'Steve Rogers' 'narrator'
 'Steve Rogers' 'Tony Stark' 'Clint Barton' 'narrator' 'Natasha Romanoff'
 'narrator' 'Thor' 'JARVIS' 'Steve Rogers' 'Tony Stark' 'narrator'
 'Announcer' nan nan nan nan]"
7,Natasha Romanoff,"At long last is lasting a little long, boys.","[{'content': u'At long last is lasting a little long, boys.', 'begin': 0, 'score': 0.4, 'magnitude': 0.4}]","{'score': 0.4, 'magnitude': 0.4}","[{'type': u'PERSON', 'meta': {}, 'salience': 1, 'name': u'boys', 'mentions': [u'boys']}]","[{'index': 4, 'begin': 0, 'pos': u'ADP', 'label': u'PREP', 'content': u'At', 'lemma': u'At'}, {'index': 0, 'begin': 3, 'pos': u'ADV', 'label': u'POBJ', 'content': u'long', 'lemma': u'long'}, {'index': 4, 'begin': 8, 'pos': u'ADJ', 'label': u'NSUBJ', 'content': u'last', 'lemma': u'last'}, {'index': 4, 'begin': 13, 'pos': u'VERB', 'label': u'AUX', 'content': u'is', 'lemma': u'be'}, {'index': 4, 'begin': 16, 'pos': u'VERB', 'label': u'ROOT', 'content': u'lasting', 'lemma': u'last'}, {'index': 6, 'begin': 24, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 7, 'begin': 26, 'pos': u'ADJ', 'label': u'NPADVMOD', 'content': u'little', 'lemma': u'little'}, {'index': 9, 'begin': 33, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'long', 'lemma': u'long'}, {'index': 9, 'begin': 37, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 4, 'begin': 39, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'boys', 'lemma': u'boy'}, {'index': 4, 'begin': 43, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,0.16,narrator,narrator,"['Fortress Soldier' 'Strucker' 'Fortress Soldier' 'Strucker' 'Steve Rogers'
 'narrator' 'Steve Rogers' 'Tony Stark' 'Clint Barton' 'narrator'
 'Natasha Romanoff' 'narrator' 'Thor' 'JARVIS' 'Steve Rogers' 'Tony Stark'
 'narrator' 'Announcer' nan nan nan]"
8,narrator,as some soldiers shoot at him,"[{'content': u'as some soldiers shoot at him', 'begin': 0, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 0.2}","[{'type': u'PERSON', 'meta': {}, 'salience': 1, 'name': 'Soldiers', 'mentions': [u'soldiers']}, {'mentions': [u'him'], 'type': 'PERSON', 'name': 'Tony Stark'}]","[{'index': 3, 'begin': 0, 'pos': u'ADP', 'label': u'MARK', 'content': u'as', 'lemma': u'as'}, {'index': 2, 'begin': 3, 'pos': u'DET', 'label': u'DET', 'content': u'some', 'lemma': u'some'}, {'index': 3, 'begin': 8, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'soldiers', 'lemma': u'soldier'}, {'index': 3, 'begin': 17, 'pos': u'VERB', 'label': u'ROOT', 'content': u'shoot', 'lemma': u'shoot'}, {'index': 3, 'begin': 23, 'pos': u'ADP', 'label': u'PREP', 'content': u'at', 'lemma': u'at'}, {'index': 4, 'begin': 26, 'pos': u'PRON', 'label': u'POBJ', 'content': u'him', 'lemma': u'him', 'char': ['Tony Stark']}]",1,0.04,Natasha Romanoff,Clint Barton,"['Strucker' 'Fortress Soldier' 'Strucker' 'Fortress Soldier' 'Strucker'
 'Steve Rogers' 'narrator' 'Steve Rogers' 'Tony Stark' 'Clint Barton'
 'narrator' 'Natasha Romanoff' 'narrator' 'Thor' 'JARVIS' 'Steve Rogers'
 'Tony Stark' 'narrator' 'Announcer' nan nan]"
9,Clint Barton,Yeah. I think we lost the element of surprise.,"[{'content': u'Yeah.', 'begin': 0, 'score': 0.2, 'magnitude': 0.2}, {'content': u'I think we lost the element of surprise.', 'begin': 6, 'score': 0, 'magnitude': 0}]","{'score': 0.1, 'magnitude': 0.3}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.64406866, 'name': u'surprise', 'mentions': [u'surprise']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.35593134, 'name': u'element', 'mentions': [u'element']}, {'mentions': [u'I', u'we'], 'type': 'PERSON', 'name': 'Clint Barton'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Fortress Soldier'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Strucker'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Steve Rogers'}]","[{'index': 0, 'begin': 0, 'pos': u'X', 'label': u'ROOT', 'content': u'Yeah', 'lemma': u'Yeah'}, {'index': 0, 'begin': 4, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 3, 'begin': 6, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Clint Barton']}, {'index': 3, 'begin': 8, 'pos': u'VERB', 'label': u'ROOT', 'content': u'think', 'lemma': u'think'}, {'index': 5, 'begin': 14, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'we', 'lemma': u'we', 'char': ['Clint Barton', 'Steve Rogers', 'Fortress Soldier', 'Strucker']}, {'index': 3, 'begin': 17, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'lost', 'lemma': u'lose'}, {'index': 7, 'begin': 22, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 5, 'begin': 26, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'element', 'lemma': u'element'}, {'index': 7, 'begin': 34, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 8, 'begin': 37, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'surprise', 'lemma': u'surprise'}, {'index': 3, 'begin': 45, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",2,0.03,narrator,Tony Stark,"['Fortress Soldier' 'Strucker' 'Fortress Soldier' 'Strucker'
 'Fortress Soldier' 'Strucker' 'Steve Rogers' 'narrator' 'Steve Rogers'
 'Tony Stark' 'Clint Barton' 'narrator' 'Natasha Romanoff' 'narrator'
 'Thor' 'JARVIS' 'Steve Rogers' 'Tony Stark' 'narrator' 'Announcer' nan]"
