,speaker,dialogue,sentences,sentiment,entities,tokens,num_pron,total_sent,speaker_prev,speaker_next,nearbyChars
0,Bucky Barnes/The Winter Soldier,"""No! No!""","[{'content': u'""No!', 'begin': 0, 'score': -0.4, 'magnitude': 0.4}, {'content': u'No!""', 'begin': 5, 'score': -0.5, 'magnitude': 0.5}]","{'score': -0.4, 'magnitude': 0.9}",[],"[{'index': 1, 'begin': 0, 'pos': u'PUNCT', 'label': u'P', 'content': u'""', 'lemma': u'""'}, {'index': 1, 'begin': 1, 'pos': u'X', 'label': u'ROOT', 'content': u'No', 'lemma': u'No'}, {'index': 1, 'begin': 3, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}, {'index': 3, 'begin': 5, 'pos': u'X', 'label': u'ROOT', 'content': u'No', 'lemma': u'No'}, {'index': 3, 'begin': 7, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}, {'index': 3, 'begin': 8, 'pos': u'PUNCT', 'label': u'P', 'content': u'""', 'lemma': u'""'}]",0,-0.36,,Vasily Karpov,"['Wanda' 'Steve' 'Wanda' 'Steve' 'Wanda' 'Steve' 'LAGOS' 'Vasily Karpov'
 'Bucky Barnes' 'Vasily Karpov' 'Bucky Barnes/The Winter Soldier' nan nan
 nan nan nan nan nan nan nan nan]"
1,Vasily Karpov,"Longing. Rusted. Seventeen. Daybreak. Furnace. Nine. Benign. Home coming. One. Freight car. Good morning, soldier.","[{'content': u'Longing.', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}, {'content': u'Rusted.', 'begin': 9, 'score': 0.1, 'magnitude': 0.1}, {'content': u'Seventeen.', 'begin': 17, 'score': 0.1, 'magnitude': 0.1}, {'content': u'Daybreak.', 'begin': 28, 'score': 0.1, 'magnitude': 0.1}, {'content': u'Furnace.', 'begin': 38, 'score': 0.2, 'magnitude': 0.2}, {'content': u'Nine.', 'begin': 47, 'score': 0.1, 'magnitude': 0.1}, {'content': u'Benign.', 'begin': 53, 'score': 0.1, 'magnitude': 0.1}, {'content': u'Home coming.', 'begin': 61, 'score': 0.2, 'magnitude': 0.2}, {'content': u'One.', 'begin': 74, 'score': 0.2, 'magnitude': 0.2}, {'content': u'Freight car.', 'begin': 79, 'score': 0.2, 'magnitude': 0.2}, {'content': u'Good morning, soldier.', 'begin': 92, 'score': 0.6, 'magnitude': 0.6}]","{'score': 0.2, 'magnitude': 2.6}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.64160097, 'name': u'Longing', 'mentions': [u'Longing']}, {'type': u'EVENT', 'meta': {u'mid': u'/m/01b3kg', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Dawn'}, 'salience': 0.10196499, 'name': u'Daybreak', 'mentions': [u'Daybreak']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.09504393, 'name': u'Home', 'mentions': [u'Home']}, {'type': u'OTHER', 'meta': {u'mid': u'/m/01jjwg', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Furnace'}, 'salience': 0.06958018, 'name': u'Furnace', 'mentions': [u'Furnace']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.0524554, 'name': 'Bucky Barnes/The Winter Soldier', 'mentions': [u'soldier']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.039354563, 'name': u'Freight car', 'mentions': [u'Freight car']}]","[{'index': 0, 'begin': 0, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Longing', 'lemma': u'Longing'}, {'index': 0, 'begin': 7, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 2, 'begin': 9, 'pos': u'ADJ', 'label': u'ROOT', 'content': u'Rusted', 'lemma': u'Rusted'}, {'index': 2, 'begin': 15, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 4, 'begin': 17, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Seventeen', 'lemma': u'Seventeen'}, {'index': 4, 'begin': 26, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 6, 'begin': 28, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Daybreak', 'lemma': u'Daybreak'}, {'index': 6, 'begin': 36, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 8, 'begin': 38, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Furnace', 'lemma': u'Furnace'}, {'index': 8, 'begin': 45, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 10, 'begin': 47, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Nine', 'lemma': u'Nine'}, {'index': 10, 'begin': 51, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 12, 'begin': 53, 'pos': u'ADJ', 'label': u'ROOT', 'content': u'Benign', 'lemma': u'Benign'}, {'index': 12, 'begin': 59, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 15, 'begin': 61, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Home', 'lemma': u'Home'}, {'index': 15, 'begin': 66, 'pos': u'VERB', 'label': u'ROOT', 'content': u'coming', 'lemma': u'come'}, {'index': 15, 'begin': 72, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 17, 'begin': 74, 'pos': u'NUM', 'label': u'ROOT', 'content': u'One', 'lemma': u'One'}, {'index': 17, 'begin': 77, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 20, 'begin': 79, 'pos': u'NOUN', 'label': u'NN', 'content': u'Freight', 'lemma': u'Freight'}, {'index': 20, 'begin': 87, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'car', 'lemma': u'car'}, {'index': 20, 'begin': 90, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 25, 'begin': 92, 'pos': u'ADJ', 'label': u'DEP', 'content': u'Good', 'lemma': u'Good'}, {'index': 22, 'begin': 97, 'pos': u'NOUN', 'label': u'DEP', 'content': u'morning', 'lemma': u'morning'}, {'index': 25, 'begin': 104, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 25, 'begin': 106, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'soldier', 'lemma': u'soldier'}, {'index': 25, 'begin': 113, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,0.52,Bucky Barnes/The Winter Soldier,Bucky Barnes,"['Steve' 'Wanda' 'Steve' 'Wanda' 'Steve' 'Wanda' 'Steve' 'LAGOS'
 'Vasily Karpov' 'Bucky Barnes' 'Vasily Karpov'
 'Bucky Barnes/The Winter Soldier' nan nan nan nan nan nan nan nan nan]"
2,Bucky Barnes,Ready to comply.,"[{'content': u'Ready to comply.', 'begin': 0, 'score': 0.4, 'magnitude': 0.4}]","{'score': 0.4, 'magnitude': 0.4}",[],"[{'index': 0, 'begin': 0, 'pos': u'ADJ', 'label': u'ROOT', 'content': u'Ready', 'lemma': u'Ready'}, {'index': 2, 'begin': 6, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 0, 'begin': 9, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'comply', 'lemma': u'comply'}, {'index': 0, 'begin': 15, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,0.16,Vasily Karpov,Vasily Karpov,"['Wanda' 'Steve' 'Wanda' 'Steve' 'Wanda' 'Steve' 'Wanda' 'Steve' 'LAGOS'
 'Vasily Karpov' 'Bucky Barnes' 'Vasily Karpov'
 'Bucky Barnes/The Winter Soldier' nan nan nan nan nan nan nan nan]"
3,Vasily Karpov,"I have a mission for you. Sanction and extract No witnesses. Well done, soldier.","[{'content': u'I have a mission for you.', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}, {'content': u'Sanction and extract No witnesses.', 'begin': 26, 'score': -0.1, 'magnitude': 0.1}, {'content': u'Well done, soldier.', 'begin': 61, 'score': 0.6, 'magnitude': 0.6}]","{'score': 0.2, 'magnitude': 0.9}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.57065684, 'name': u'mission', 'mentions': [u'mission']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.20168683, 'name': u'Sanction', 'mentions': [u'Sanction']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.13614398, 'name': u'witnesses', 'mentions': [u'witnesses']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.09151237, 'name': 'Bucky Barnes/The Winter Soldier', 'mentions': [u'soldier']}, {'mentions': [u'I'], 'type': 'PERSON', 'name': 'Vasily Karpov'}, {'mentions': [u'you'], 'type': 'PERSON', 'name': 'LAGOS'}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Vasily Karpov']}, {'index': 1, 'begin': 2, 'pos': u'VERB', 'label': u'ROOT', 'content': u'have', 'lemma': u'have'}, {'index': 3, 'begin': 7, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 1, 'begin': 9, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'mission', 'lemma': u'mission'}, {'index': 3, 'begin': 17, 'pos': u'ADP', 'label': u'PREP', 'content': u'for', 'lemma': u'for'}, {'index': 4, 'begin': 21, 'pos': u'PRON', 'label': u'POBJ', 'content': u'you', 'lemma': u'you', 'char': ['LAGOS']}, {'index': 1, 'begin': 24, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 7, 'begin': 26, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Sanction', 'lemma': u'Sanction'}, {'index': 7, 'begin': 35, 'pos': u'CONJ', 'label': u'CC', 'content': u'and', 'lemma': u'and'}, {'index': 7, 'begin': 39, 'pos': u'VERB', 'label': u'CONJ', 'content': u'extract', 'lemma': u'extract'}, {'index': 11, 'begin': 47, 'pos': u'DET', 'label': u'DET', 'content': u'No', 'lemma': u'No'}, {'index': 9, 'begin': 50, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'witnesses', 'lemma': u'witness'}, {'index': 7, 'begin': 59, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 14, 'begin': 61, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'Well', 'lemma': u'Well'}, {'index': 14, 'begin': 66, 'pos': u'VERB', 'label': u'ROOT', 'content': u'done', 'lemma': u'do'}, {'index': 14, 'begin': 70, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 14, 'begin': 72, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'soldier', 'lemma': u'soldier'}, {'index': 14, 'begin': 79, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",2,0.18,Bucky Barnes,LAGOS,"['Natasha' 'Wanda' 'Steve' 'Wanda' 'Steve' 'Wanda' 'Steve' 'Wanda' 'Steve'
 'LAGOS' 'Vasily Karpov' 'Bucky Barnes' 'Vasily Karpov'
 'Bucky Barnes/The Winter Soldier' nan nan nan nan nan nan nan]"
4,LAGOS,PRESENT DAY:,"[{'content': u'PRESENT DAY:', 'begin': 0, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 0.2}",[],"[{'index': 1, 'begin': 0, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'PRESENT', 'lemma': u'PRESENT'}, {'index': 1, 'begin': 8, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'DAY', 'lemma': u'DAY'}, {'index': 1, 'begin': 11, 'pos': u'PUNCT', 'label': u'P', 'content': u':', 'lemma': u':'}]",0,0.04,Vasily Karpov,Steve,"['Wanda' 'Natasha' 'Wanda' 'Steve' 'Wanda' 'Steve' 'Wanda' 'Steve' 'Wanda'
 'Steve' 'LAGOS' 'Vasily Karpov' 'Bucky Barnes' 'Vasily Karpov'
 'Bucky Barnes/The Winter Soldier' nan nan nan nan nan nan]"
5,Steve,"Alright, what do you see?","[{'content': u'Alright, what do you see?', 'begin': 0, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 0.2}","[{'mentions': [u'you'], 'type': 'PERSON', 'name': 'Wanda'}]","[{'index': 5, 'begin': 0, 'pos': u'X', 'label': u'DISCOURSE', 'content': u'Alright', 'lemma': u'Alright'}, {'index': 5, 'begin': 7, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 5, 'begin': 9, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'what', 'lemma': u'what'}, {'index': 5, 'begin': 14, 'pos': u'VERB', 'label': u'AUX', 'content': u'do', 'lemma': u'do'}, {'index': 5, 'begin': 17, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you', 'char': ['Wanda']}, {'index': 5, 'begin': 21, 'pos': u'VERB', 'label': u'ROOT', 'content': u'see', 'lemma': u'see'}, {'index': 5, 'begin': 24, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",1,0.04,LAGOS,Wanda,"['Natasha' 'Wanda' 'Natasha' 'Wanda' 'Steve' 'Wanda' 'Steve' 'Wanda'
 'Steve' 'Wanda' 'Steve' 'LAGOS' 'Vasily Karpov' 'Bucky Barnes'
 'Vasily Karpov' 'Bucky Barnes/The Winter Soldier' nan nan nan nan nan]"
6,Wanda,Standard beat cops. Small station. Quiet street. It's a good target.,"[{'content': u'Standard beat cops.', 'begin': 0, 'score': 0.5, 'magnitude': 0.5}, {'content': u'Small station.', 'begin': 20, 'score': 0.2, 'magnitude': 0.2}, {'content': u'Quiet street.', 'begin': 35, 'score': 0.2, 'magnitude': 0.2}, {'content': u""It's a good target."", 'begin': 49, 'score': 0.6, 'magnitude': 0.6}]","{'score': 0.4, 'magnitude': 1.6}","[{'type': u'ORGANIZATION', 'meta': {u'mid': u'/m/043kxlp', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Displacement_(ship)'}, 'salience': 0.43140525, 'name': u'Standard', 'mentions': [u'Standard']}, {'type': u'ORGANIZATION', 'meta': {}, 'salience': 0.30746934, 'name': u'cops', 'mentions': [u'cops']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.12762465, 'name': u'target', 'mentions': [u'target']}, {'type': u'LOCATION', 'meta': {}, 'salience': 0.06797232, 'name': u'street', 'mentions': [u'street']}, {'type': u'LOCATION', 'meta': {}, 'salience': 0.06552842, 'name': u'station', 'mentions': [u'station']}]","[{'index': 1, 'begin': 0, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Standard', 'lemma': u'Standard'}, {'index': 1, 'begin': 9, 'pos': u'VERB', 'label': u'ROOT', 'content': u'beat', 'lemma': u'beat'}, {'index': 1, 'begin': 14, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'cops', 'lemma': u'cop'}, {'index': 1, 'begin': 18, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 5, 'begin': 20, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'Small', 'lemma': u'Small'}, {'index': 5, 'begin': 26, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'station', 'lemma': u'station'}, {'index': 5, 'begin': 33, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 8, 'begin': 35, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'Quiet', 'lemma': u'Quiet'}, {'index': 8, 'begin': 41, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'street', 'lemma': u'street'}, {'index': 8, 'begin': 47, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 11, 'begin': 49, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'It', 'lemma': u'It'}, {'index': 11, 'begin': 51, 'pos': u'VERB', 'label': u'ROOT', 'content': u""'s"", 'lemma': u'be'}, {'index': 14, 'begin': 54, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 14, 'begin': 56, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'good', 'lemma': u'good'}, {'index': 11, 'begin': 61, 'pos': u'NOUN', 'label': u'ATTR', 'content': u'target', 'lemma': u'target'}, {'index': 11, 'begin': 67, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,0.64,Steve,Steve,"['Sam' 'Natasha' 'Wanda' 'Natasha' 'Wanda' 'Steve' 'Wanda' 'Steve' 'Wanda'
 'Steve' 'Wanda' 'Steve' 'LAGOS' 'Vasily Karpov' 'Bucky Barnes'
 'Vasily Karpov' 'Bucky Barnes/The Winter Soldier' nan nan nan nan]"
7,Steve,"There's an ATM in the south corner, which means...","[{'content': u""There's an ATM in the south corner, which means..."", 'begin': 0, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 0.2}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.81642663, 'name': u'ATM', 'mentions': [u'ATM']}, {'type': u'LOCATION', 'meta': {}, 'salience': 0.18357334, 'name': u'corner', 'mentions': [u'corner']}]","[{'index': 1, 'begin': 0, 'pos': u'DET', 'label': u'EXPL', 'content': u'There', 'lemma': u'There'}, {'index': 1, 'begin': 5, 'pos': u'VERB', 'label': u'ROOT', 'content': u""'s"", 'lemma': u'be'}, {'index': 3, 'begin': 8, 'pos': u'DET', 'label': u'DET', 'content': u'an', 'lemma': u'an'}, {'index': 1, 'begin': 11, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'ATM', 'lemma': u'ATM'}, {'index': 3, 'begin': 15, 'pos': u'ADP', 'label': u'PREP', 'content': u'in', 'lemma': u'in'}, {'index': 7, 'begin': 18, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 7, 'begin': 22, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'south', 'lemma': u'south'}, {'index': 4, 'begin': 28, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'corner', 'lemma': u'corner'}, {'index': 3, 'begin': 34, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 10, 'begin': 36, 'pos': u'DET', 'label': u'NSUBJ', 'content': u'which', 'lemma': u'which'}, {'index': 3, 'begin': 42, 'pos': u'VERB', 'label': u'RCMOD', 'content': u'means', 'lemma': u'mean'}, {'index': 1, 'begin': 47, 'pos': u'PUNCT', 'label': u'P', 'content': u'..', 'lemma': u'..'}, {'index': 1, 'begin': 49, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,0.04,Wanda,Wanda,"['Natasha' 'Sam' 'Natasha' 'Wanda' 'Natasha' 'Wanda' 'Steve' 'Wanda'
 'Steve' 'Wanda' 'Steve' 'Wanda' 'Steve' 'LAGOS' 'Vasily Karpov'
 'Bucky Barnes' 'Vasily Karpov' 'Bucky Barnes/The Winter Soldier' nan nan
 nan]"
8,Wanda,Cameras.,"[{'content': u'Cameras.', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'type': u'CONSUMER_GOOD', 'meta': {}, 'salience': 1, 'name': u'Cameras', 'mentions': [u'Cameras']}]","[{'index': 0, 'begin': 0, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Cameras', 'lemma': u'camera'}, {'index': 0, 'begin': 7, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,0.01,Steve,Steve,"['Steve' 'Natasha' 'Sam' 'Natasha' 'Wanda' 'Natasha' 'Wanda' 'Steve'
 'Wanda' 'Steve' 'Wanda' 'Steve' 'Wanda' 'Steve' 'LAGOS' 'Vasily Karpov'
 'Bucky Barnes' 'Vasily Karpov' 'Bucky Barnes/The Winter Soldier' nan nan]"
9,Steve,Both cross streets one way?,"[{'content': u'Both cross streets one way?', 'begin': 0, 'score': -0.3, 'magnitude': 0.3}]","{'score': -0.3, 'magnitude': 0.3}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.7804459, 'name': u'cross streets', 'mentions': [u'cross streets']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.2195541, 'name': u'way', 'mentions': [u'way']}]","[{'index': 1, 'begin': 0, 'pos': u'DET', 'label': u'NSUBJ', 'content': u'Both', 'lemma': u'Both'}, {'index': 1, 'begin': 5, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'cross', 'lemma': u'cross'}, {'index': 1, 'begin': 11, 'pos': u'NOUN', 'label': u'IOBJ', 'content': u'streets', 'lemma': u'street'}, {'index': 4, 'begin': 19, 'pos': u'NUM', 'label': u'NUM', 'content': u'one', 'lemma': u'one'}, {'index': 1, 'begin': 23, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'way', 'lemma': u'way'}, {'index': 1, 'begin': 26, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",0,-0.09,Wanda,Wanda,"['Sam' 'Steve' 'Natasha' 'Sam' 'Natasha' 'Wanda' 'Natasha' 'Wanda' 'Steve'
 'Wanda' 'Steve' 'Wanda' 'Steve' 'Wanda' 'Steve' 'LAGOS' 'Vasily Karpov'
 'Bucky Barnes' 'Vasily Karpov' 'Bucky Barnes/The Winter Soldier' nan]"
