,speaker,dialogue,sentences,sentiment,entities,tokens,num_pron,total_sent,speaker_prev,speaker_next,nearbyChars
0,narrator,first lines; in the Arctic,"[{'content': u'first lines; in the Arctic', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.7600882, 'name': u'lines', 'mentions': [u'lines']}, {'type': u'LOCATION', 'meta': {u'mid': u'/m/09738', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Arctic'}, 'salience': 0.23991182, 'name': u'Arctic', 'mentions': [u'Arctic']}]","[{'index': 1, 'begin': 0, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'first', 'lemma': u'first'}, {'index': 1, 'begin': 6, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'lines', 'lemma': u'line'}, {'index': 1, 'begin': 11, 'pos': u'PUNCT', 'label': u'P', 'content': u';', 'lemma': u';'}, {'index': 1, 'begin': 13, 'pos': u'ADP', 'label': u'PREP', 'content': u'in', 'lemma': u'in'}, {'index': 5, 'begin': 16, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 3, 'begin': 20, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Arctic', 'lemma': u'Arctic'}]",0,0.0,,Search Team Leader,"['Search Team Leader' 'SHIELD Tech' 'Search Team Leader'
 'SHIELD Lieutenant' 'Search Team Leader' 'SHIELD Lieutenant'
 'Search Team Leader' 'SHIELD Lieutenant' 'SHIELD Tech'
 'Search Team Leader' 'narrator' nan nan nan nan nan nan nan nan nan nan]"
1,Search Team Leader,Are you the guys from Washington?,"[{'content': u'Are you the guys from Washington?', 'begin': 0, 'score': -0.2, 'magnitude': 0.2}]","{'score': -0.2, 'magnitude': 0.2}","[{'type': u'PERSON', 'meta': {}, 'salience': 0.8466744, 'name': u'guys', 'mentions': [u'guys']}, {'type': u'LOCATION', 'meta': {u'mid': u'/m/0rh6k', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Washington,_D.C.'}, 'salience': 0.1533256, 'name': u'Washington', 'mentions': [u'Washington']}, {'mentions': [u'you'], 'type': 'PERSON', 'name': 'narrator'}]","[{'index': 0, 'begin': 0, 'pos': u'VERB', 'label': u'ROOT', 'content': u'Are', 'lemma': u'be'}, {'index': 0, 'begin': 4, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you', 'char': ['narrator']}, {'index': 3, 'begin': 8, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 0, 'begin': 12, 'pos': u'NOUN', 'label': u'ATTR', 'content': u'guys', 'lemma': u'guy'}, {'index': 3, 'begin': 17, 'pos': u'ADP', 'label': u'PREP', 'content': u'from', 'lemma': u'from'}, {'index': 4, 'begin': 22, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Washington', 'lemma': u'Washington'}, {'index': 0, 'begin': 32, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",1,-0.04,narrator,SHIELD Tech,"['narrator' 'Search Team Leader' 'SHIELD Tech' 'Search Team Leader'
 'SHIELD Lieutenant' 'Search Team Leader' 'SHIELD Lieutenant'
 'Search Team Leader' 'SHIELD Lieutenant' 'SHIELD Tech'
 'Search Team Leader' 'narrator' nan nan nan nan nan nan nan nan nan]"
2,SHIELD Tech,You get many other visitors out here?,"[{'content': u'You get many other visitors out here?', 'begin': 0, 'score': -0.1, 'magnitude': 0.1}]","{'score': -0.1, 'magnitude': 0.1}","[{'type': u'PERSON', 'meta': {}, 'salience': 1, 'name': u'visitors', 'mentions': [u'visitors']}, {'mentions': [u'You'], 'type': 'PERSON', 'name': 'SHIELD Lieutenant'}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'You', 'lemma': u'You', 'char': ['SHIELD Lieutenant']}, {'index': 1, 'begin': 4, 'pos': u'VERB', 'label': u'ROOT', 'content': u'get', 'lemma': u'get'}, {'index': 4, 'begin': 8, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'many', 'lemma': u'many'}, {'index': 4, 'begin': 13, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'other', 'lemma': u'other'}, {'index': 1, 'begin': 19, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'visitors', 'lemma': u'visitor'}, {'index': 6, 'begin': 28, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'out', 'lemma': u'out'}, {'index': 1, 'begin': 32, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'here', 'lemma': u'here'}, {'index': 1, 'begin': 36, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",1,-0.01,Search Team Leader,SHIELD Lieutenant,"['narrator' 'narrator' 'Search Team Leader' 'SHIELD Tech'
 'Search Team Leader' 'SHIELD Lieutenant' 'Search Team Leader'
 'SHIELD Lieutenant' 'Search Team Leader' 'SHIELD Lieutenant' 'SHIELD Tech'
 'Search Team Leader' 'narrator' nan nan nan nan nan nan nan nan]"
3,SHIELD Lieutenant,How long have you been on site?,"[{'content': u'How long have you been on site?', 'begin': 0, 'score': -0.2, 'magnitude': 0.2}]","{'score': -0.2, 'magnitude': 0.2}","[{'type': u'OTHER', 'meta': {}, 'salience': 1, 'name': u'site', 'mentions': [u'site']}, {'mentions': [u'you'], 'type': 'PERSON', 'name': 'SHIELD Tech'}]","[{'index': 1, 'begin': 0, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'How', 'lemma': u'How'}, {'index': 4, 'begin': 4, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'long', 'lemma': u'long'}, {'index': 4, 'begin': 9, 'pos': u'VERB', 'label': u'AUX', 'content': u'have', 'lemma': u'have'}, {'index': 4, 'begin': 14, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you', 'char': ['SHIELD Tech']}, {'index': 4, 'begin': 18, 'pos': u'VERB', 'label': u'ROOT', 'content': u'been', 'lemma': u'be'}, {'index': 4, 'begin': 23, 'pos': u'ADP', 'label': u'PREP', 'content': u'on', 'lemma': u'on'}, {'index': 5, 'begin': 26, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'site', 'lemma': u'site'}, {'index': 4, 'begin': 30, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",1,-0.04,SHIELD Tech,Search Team Leader,"['SHIELD Tech' 'narrator' 'narrator' 'Search Team Leader' 'SHIELD Tech'
 'Search Team Leader' 'SHIELD Lieutenant' 'Search Team Leader'
 'SHIELD Lieutenant' 'Search Team Leader' 'SHIELD Lieutenant' 'SHIELD Tech'
 'Search Team Leader' 'narrator' nan nan nan nan nan nan nan]"
4,Search Team Leader,Since this morning. A Russian oil team called it in about eighteen hours ago.,"[{'content': u'Since this morning.', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}, {'content': u'A Russian oil team called it in about eighteen hours ago.', 'begin': 20, 'score': 0, 'magnitude': 0}]","{'score': 0.1, 'magnitude': 0.2}","[{'type': u'ORGANIZATION', 'meta': {}, 'salience': 0.626703, 'name': u'oil team', 'mentions': [u'oil team']}, {'type': u'LOCATION', 'meta': {u'mid': u'/m/06bnz', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Russia'}, 'salience': 0.37329698, 'name': u'Russian', 'mentions': [u'Russian']}]","[{'index': 0, 'begin': 0, 'pos': u'ADP', 'label': u'ROOT', 'content': u'Since', 'lemma': u'Since'}, {'index': 2, 'begin': 6, 'pos': u'DET', 'label': u'DET', 'content': u'this', 'lemma': u'this'}, {'index': 0, 'begin': 11, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'morning', 'lemma': u'morning'}, {'index': 0, 'begin': 18, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 7, 'begin': 20, 'pos': u'DET', 'label': u'DET', 'content': u'A', 'lemma': u'A'}, {'index': 7, 'begin': 22, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'Russian', 'lemma': u'Russian'}, {'index': 7, 'begin': 30, 'pos': u'NOUN', 'label': u'NN', 'content': u'oil', 'lemma': u'oil'}, {'index': 8, 'begin': 34, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'team', 'lemma': u'team'}, {'index': 8, 'begin': 39, 'pos': u'VERB', 'label': u'ROOT', 'content': u'called', 'lemma': u'call'}, {'index': 8, 'begin': 46, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'it', 'lemma': u'it'}, {'index': 8, 'begin': 49, 'pos': u'ADP', 'label': u'PREP', 'content': u'in', 'lemma': u'in'}, {'index': 12, 'begin': 52, 'pos': u'ADV', 'label': u'QUANTMOD', 'content': u'about', 'lemma': u'about'}, {'index': 13, 'begin': 58, 'pos': u'NUM', 'label': u'NUM', 'content': u'eighteen', 'lemma': u'eighteen'}, {'index': 14, 'begin': 67, 'pos': u'NOUN', 'label': u'NPADVMOD', 'content': u'hours', 'lemma': u'hour'}, {'index': 10, 'begin': 73, 'pos': u'ADV', 'label': u'POBJ', 'content': u'ago', 'lemma': u'ago'}, {'index': 8, 'begin': 76, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,0.02,SHIELD Lieutenant,SHIELD Lieutenant,"['SHIELD Lieutenant' 'SHIELD Tech' 'narrator' 'narrator'
 'Search Team Leader' 'SHIELD Tech' 'Search Team Leader'
 'SHIELD Lieutenant' 'Search Team Leader' 'SHIELD Lieutenant'
 'Search Team Leader' 'SHIELD Lieutenant' 'SHIELD Tech'
 'Search Team Leader' 'narrator' nan nan nan nan nan nan]"
5,SHIELD Lieutenant,How come nobody spotted it before?,"[{'content': u'How come nobody spotted it before?', 'begin': 0, 'score': -0.4, 'magnitude': 0.4}]","{'score': -0.4, 'magnitude': 0.4}","[{'type': u'PERSON', 'meta': {}, 'salience': 1, 'name': u'nobody', 'mentions': [u'nobody']}]","[{'index': 3, 'begin': 0, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'How', 'lemma': u'How'}, {'index': 3, 'begin': 4, 'pos': u'VERB', 'label': u'DEP', 'content': u'come', 'lemma': u'come'}, {'index': 3, 'begin': 9, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'nobody', 'lemma': u'nobody'}, {'index': 3, 'begin': 16, 'pos': u'VERB', 'label': u'ROOT', 'content': u'spotted', 'lemma': u'spot'}, {'index': 3, 'begin': 24, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'it', 'lemma': u'it'}, {'index': 3, 'begin': 27, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'before', 'lemma': u'before'}, {'index': 3, 'begin': 33, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",0,-0.16,Search Team Leader,Search Team Leader,"['Voice from Earpiece' 'SHIELD Lieutenant' 'SHIELD Tech' 'narrator'
 'narrator' 'Search Team Leader' 'SHIELD Tech' 'Search Team Leader'
 'SHIELD Lieutenant' 'Search Team Leader' 'SHIELD Lieutenant'
 'Search Team Leader' 'SHIELD Lieutenant' 'SHIELD Tech'
 'Search Team Leader' 'narrator' nan nan nan nan nan]"
6,Search Team Leader,It's really not that surprising. This landscape's changing all the time. You got any ideas what this thing is exactly?,"[{'content': u""It's really not that surprising."", 'begin': 0, 'score': -0.4, 'magnitude': 0.4}, {'content': u""This landscape's changing all the time."", 'begin': 33, 'score': 0, 'magnitude': 0}, {'content': u'You got any ideas what this thing is exactly?', 'begin': 73, 'score': 0, 'magnitude': 0}]","{'score': -0.1, 'magnitude': 0.5}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.45976576, 'name': u'landscape', 'mentions': [u'landscape']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.37788653, 'name': u'thing', 'mentions': [u'thing']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.1623477, 'name': u'ideas', 'mentions': [u'ideas']}, {'mentions': [u'You'], 'type': 'PERSON', 'name': 'SHIELD Lieutenant'}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'It', 'lemma': u'It'}, {'index': 1, 'begin': 2, 'pos': u'VERB', 'label': u'ROOT', 'content': u""'s"", 'lemma': u'be'}, {'index': 1, 'begin': 5, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'really', 'lemma': u'really'}, {'index': 1, 'begin': 12, 'pos': u'ADV', 'label': u'NEG', 'content': u'not', 'lemma': u'not'}, {'index': 5, 'begin': 16, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'that', 'lemma': u'that'}, {'index': 1, 'begin': 21, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'surprising', 'lemma': u'surprising'}, {'index': 1, 'begin': 31, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 8, 'begin': 33, 'pos': u'DET', 'label': u'DET', 'content': u'This', 'lemma': u'This'}, {'index': 10, 'begin': 38, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'landscape', 'lemma': u'landscape'}, {'index': 10, 'begin': 47, 'pos': u'PRT', 'label': u'AUX', 'content': u""'s"", 'lemma': u""'s""}, {'index': 10, 'begin': 50, 'pos': u'VERB', 'label': u'ROOT', 'content': u'changing', 'lemma': u'change'}, {'index': 13, 'begin': 59, 'pos': u'DET', 'label': u'PREDET', 'content': u'all', 'lemma': u'all'}, {'index': 13, 'begin': 63, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 10, 'begin': 67, 'pos': u'NOUN', 'label': u'TMOD', 'content': u'time', 'lemma': u'time'}, {'index': 10, 'begin': 71, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 16, 'begin': 73, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'You', 'lemma': u'You', 'char': ['SHIELD Lieutenant']}, {'index': 16, 'begin': 77, 'pos': u'VERB', 'label': u'ROOT', 'content': u'got', 'lemma': u'get'}, {'index': 18, 'begin': 81, 'pos': u'DET', 'label': u'DET', 'content': u'any', 'lemma': u'any'}, {'index': 16, 'begin': 85, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'ideas', 'lemma': u'idea'}, {'index': 22, 'begin': 91, 'pos': u'PRON', 'label': u'DEP', 'content': u'what', 'lemma': u'what'}, {'index': 21, 'begin': 96, 'pos': u'DET', 'label': u'DET', 'content': u'this', 'lemma': u'this'}, {'index': 22, 'begin': 101, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'thing', 'lemma': u'thing'}, {'index': 18, 'begin': 107, 'pos': u'VERB', 'label': u'RCMOD', 'content': u'is', 'lemma': u'be'}, {'index': 22, 'begin': 110, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'exactly', 'lemma': u'exactly'}, {'index': 16, 'begin': 117, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",1,-0.05,SHIELD Lieutenant,SHIELD Lieutenant,"['SHIELD Lieutenant' 'Voice from Earpiece' 'SHIELD Lieutenant'
 'SHIELD Tech' 'narrator' 'narrator' 'Search Team Leader' 'SHIELD Tech'
 'Search Team Leader' 'SHIELD Lieutenant' 'Search Team Leader'
 'SHIELD Lieutenant' 'Search Team Leader' 'SHIELD Lieutenant' 'SHIELD Tech'
 'Search Team Leader' 'narrator' nan nan nan nan]"
7,SHIELD Lieutenant,I don't know. It's probably a weather balloon.,"[{'content': u""I don't know."", 'begin': 0, 'score': 0, 'magnitude': 0}, {'content': u""It's probably a weather balloon."", 'begin': 14, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.1, 'magnitude': 0.2}","[{'type': u'OTHER', 'meta': {}, 'salience': 1, 'name': u'weather balloon', 'mentions': [u'weather balloon']}, {'mentions': [u'I'], 'type': 'PERSON', 'name': 'SHIELD Lieutenant'}]","[{'index': 3, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['SHIELD Lieutenant']}, {'index': 3, 'begin': 2, 'pos': u'VERB', 'label': u'AUX', 'content': u'do', 'lemma': u'do'}, {'index': 3, 'begin': 4, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 3, 'begin': 8, 'pos': u'VERB', 'label': u'ROOT', 'content': u'know', 'lemma': u'know'}, {'index': 3, 'begin': 12, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 6, 'begin': 14, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'It', 'lemma': u'It'}, {'index': 6, 'begin': 16, 'pos': u'VERB', 'label': u'ROOT', 'content': u""'s"", 'lemma': u'be'}, {'index': 6, 'begin': 19, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'probably', 'lemma': u'probably'}, {'index': 10, 'begin': 28, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 10, 'begin': 30, 'pos': u'NOUN', 'label': u'NN', 'content': u'weather', 'lemma': u'weather'}, {'index': 6, 'begin': 38, 'pos': u'NOUN', 'label': u'ATTR', 'content': u'balloon', 'lemma': u'balloon'}, {'index': 6, 'begin': 45, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",1,0.02,Search Team Leader,Search Team Leader,"['narrator' 'SHIELD Lieutenant' 'Voice from Earpiece' 'SHIELD Lieutenant'
 'SHIELD Tech' 'narrator' 'narrator' 'Search Team Leader' 'SHIELD Tech'
 'Search Team Leader' 'SHIELD Lieutenant' 'Search Team Leader'
 'SHIELD Lieutenant' 'Search Team Leader' 'SHIELD Lieutenant' 'SHIELD Tech'
 'Search Team Leader' 'narrator' nan nan nan]"
8,Search Team Leader,I don't think so. You know we don't have the equipment for a job like this.,"[{'content': u""I don't think so."", 'begin': 0, 'score': 0, 'magnitude': 0}, {'content': u""You know we don't have the equipment for a job like this."", 'begin': 18, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0, 'magnitude': 0.2}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.6951543, 'name': u'equipment', 'mentions': [u'equipment']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.3048457, 'name': u'job', 'mentions': [u'job']}, {'mentions': [u'I', u'we'], 'type': 'PERSON', 'name': 'Search Team Leader'}, {'mentions': [u'You', u'we'], 'type': 'PERSON', 'name': 'SHIELD Tech'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Voice from Earpiece'}]","[{'index': 3, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Search Team Leader']}, {'index': 3, 'begin': 2, 'pos': u'VERB', 'label': u'AUX', 'content': u'do', 'lemma': u'do'}, {'index': 3, 'begin': 4, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 3, 'begin': 8, 'pos': u'VERB', 'label': u'ROOT', 'content': u'think', 'lemma': u'think'}, {'index': 3, 'begin': 14, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'so', 'lemma': u'so'}, {'index': 3, 'begin': 16, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 7, 'begin': 18, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'You', 'lemma': u'You', 'char': ['SHIELD Tech']}, {'index': 7, 'begin': 22, 'pos': u'VERB', 'label': u'ROOT', 'content': u'know', 'lemma': u'know'}, {'index': 11, 'begin': 27, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'we', 'lemma': u'we', 'char': ['Search Team Leader', 'SHIELD Tech', 'Voice from Earpiece']}, {'index': 11, 'begin': 30, 'pos': u'VERB', 'label': u'AUX', 'content': u'do', 'lemma': u'do'}, {'index': 11, 'begin': 32, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 7, 'begin': 36, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'have', 'lemma': u'have'}, {'index': 13, 'begin': 41, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 11, 'begin': 45, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'equipment', 'lemma': u'equipment'}, {'index': 13, 'begin': 55, 'pos': u'ADP', 'label': u'PREP', 'content': u'for', 'lemma': u'for'}, {'index': 16, 'begin': 59, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 14, 'begin': 61, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'job', 'lemma': u'job'}, {'index': 16, 'begin': 65, 'pos': u'ADP', 'label': u'PREP', 'content': u'like', 'lemma': u'like'}, {'index': 17, 'begin': 70, 'pos': u'DET', 'label': u'POBJ', 'content': u'this', 'lemma': u'this'}, {'index': 7, 'begin': 74, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",3,0.0,SHIELD Lieutenant,SHIELD Tech,"['narrator' 'narrator' 'SHIELD Lieutenant' 'Voice from Earpiece'
 'SHIELD Lieutenant' 'SHIELD Tech' 'narrator' 'narrator'
 'Search Team Leader' 'SHIELD Tech' 'Search Team Leader'
 'SHIELD Lieutenant' 'Search Team Leader' 'SHIELD Lieutenant'
 'Search Team Leader' 'SHIELD Lieutenant' 'SHIELD Tech'
 'Search Team Leader' 'narrator' nan nan]"
9,SHIELD Tech,How long before we can start craning it out?,"[{'content': u'How long before we can start craning it out?', 'begin': 0, 'score': -0.3, 'magnitude': 0.3}]","{'score': -0.3, 'magnitude': 0.3}","[{'mentions': [u'we'], 'type': 'PERSON', 'name': 'SHIELD Tech'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Voice from Earpiece'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Search Team Leader'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'SHIELD Lieutenant'}]","[{'index': 1, 'begin': 0, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'How', 'lemma': u'How'}, {'index': 5, 'begin': 4, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'long', 'lemma': u'long'}, {'index': 5, 'begin': 9, 'pos': u'ADP', 'label': u'MARK', 'content': u'before', 'lemma': u'before'}, {'index': 5, 'begin': 16, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'we', 'lemma': u'we', 'char': ['SHIELD Tech', 'SHIELD Lieutenant', 'Search Team Leader', 'Voice from Earpiece']}, {'index': 5, 'begin': 19, 'pos': u'VERB', 'label': u'AUX', 'content': u'can', 'lemma': u'can'}, {'index': 5, 'begin': 23, 'pos': u'VERB', 'label': u'ROOT', 'content': u'start', 'lemma': u'start'}, {'index': 5, 'begin': 29, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'craning', 'lemma': u'crane'}, {'index': 6, 'begin': 37, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'it', 'lemma': u'it'}, {'index': 6, 'begin': 40, 'pos': u'PRT', 'label': u'PRT', 'content': u'out', 'lemma': u'out'}, {'index': 5, 'begin': 43, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",1,-0.09,Search Team Leader,Search Team Leader,"['Messenger' 'narrator' 'narrator' 'SHIELD Lieutenant'
 'Voice from Earpiece' 'SHIELD Lieutenant' 'SHIELD Tech' 'narrator'
 'narrator' 'Search Team Leader' 'SHIELD Tech' 'Search Team Leader'
 'SHIELD Lieutenant' 'Search Team Leader' 'SHIELD Lieutenant'
 'Search Team Leader' 'SHIELD Lieutenant' 'SHIELD Tech'
 'Search Team Leader' 'narrator' nan]"
