,speaker,dialogue,sentences,sentiment,entities,tokens,num_pron,total_sent,speaker_prev,speaker_next,nearbyChars
0,narrator,first lines; we see Tony's Iron Man suits being destroyed,"[{'content': u""first lines; we see Tony's Iron Man suits being destroyed"", 'begin': 0, 'score': 0.3, 'magnitude': 0.3}]","{'score': 0.3, 'magnitude': 0.3}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.92041147, 'name': u'lines', 'mentions': [u'lines']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.07958854, 'name': u""Tony's Iron Man"", 'mentions': [u""Tony's Iron Man""]}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Part Guest'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'narrator'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Tony Stark'}]","[{'index': 1, 'begin': 0, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'first', 'lemma': u'first'}, {'index': 1, 'begin': 6, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'lines', 'lemma': u'line'}, {'index': 1, 'begin': 11, 'pos': u'PUNCT', 'label': u'P', 'content': u';', 'lemma': u';'}, {'index': 4, 'begin': 13, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'we', 'lemma': u'we', 'char': ['narrator', 'Part Guest', 'Tony Stark']}, {'index': 1, 'begin': 16, 'pos': u'VERB', 'label': u'PARATAXIS', 'content': u'see', 'lemma': u'see'}, {'index': 8, 'begin': 20, 'pos': u'NOUN', 'label': u'POSS', 'content': u'Tony', 'lemma': u'Tony'}, {'index': 5, 'begin': 24, 'pos': u'PRT', 'label': u'PS', 'content': u""'s"", 'lemma': u""'s""}, {'index': 8, 'begin': 27, 'pos': u'NOUN', 'label': u'NN', 'content': u'Iron', 'lemma': u'Iron'}, {'index': 9, 'begin': 32, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Man', 'lemma': u'Man'}, {'index': 4, 'begin': 36, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'suits', 'lemma': u'suit'}, {'index': 11, 'begin': 42, 'pos': u'VERB', 'label': u'AUXPASS', 'content': u'being', 'lemma': u'be'}, {'index': 9, 'begin': 48, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'destroyed', 'lemma': u'destroy'}]",1,0.09,,Tony Stark,"['Maya Hansen' 'Happy Hogan' 'Tony Stark' 'Happy Hogan' 'narrator'
 'Part Guest' 'Tony Stark' 'Happy Hogan' 'narrator' 'Tony Stark' 'narrator'
 nan nan nan nan nan nan nan nan nan nan]"
1,Tony Stark,"[voice over] We create our own demons. Who said that? What does that even mean? Doesn't matter, I said it cause he said it. So now he was famous and that's basically get said by two well known guys. I don't, uh...I'm gonna start again. Let's track this from the beginning.","[{'content': u'[voice over] We create our own demons.', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}, {'content': u'Who said that?', 'begin': 39, 'score': -0.1, 'magnitude': 0.1}, {'content': u'What does that even mean?', 'begin': 54, 'score': -0.3, 'magnitude': 0.3}, {'content': u""Doesn't matter, I said it cause he said it."", 'begin': 80, 'score': -0.4, 'magnitude': 0.4}, {'content': u""So now he was famous and that's basically get said by two well known guys."", 'begin': 124, 'score': 0, 'magnitude': 0}, {'content': u""I don't, uh...I'm gonna start again."", 'begin': 199, 'score': 0, 'magnitude': 0}, {'content': u""Let's track this from the beginning."", 'begin': 236, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0, 'magnitude': 1.5}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.49741933, 'name': u'demons', 'mentions': [u'demons']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.44767353, 'name': u'voice', 'mentions': [u'voice']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.031413358, 'name': u'beginning', 'mentions': [u'beginning']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.02349377, 'name': u'guys', 'mentions': [u'guys']}, {'mentions': [u'We', u'our'], 'type': 'PERSON', 'name': 'Part Guest'}, {'mentions': [u'We', u'our'], 'type': 'PERSON', 'name': 'Happy Hogan'}, {'mentions': [u'We', u'our', u'I', u'I', u'I'], 'type': 'PERSON', 'name': 'Tony Stark'}, {'mentions': [u'he', u'he'], 'type': 'PERSON', 'name': 'Rose Hills Sheriff'}]","[{'index': 1, 'begin': 0, 'pos': u'PUNCT', 'label': u'P', 'content': u'[', 'lemma': u'['}, {'index': 5, 'begin': 1, 'pos': u'NOUN', 'label': u'DEP', 'content': u'voice', 'lemma': u'voice'}, {'index': 1, 'begin': 7, 'pos': u'ADP', 'label': u'ADVMOD', 'content': u'over', 'lemma': u'over'}, {'index': 1, 'begin': 11, 'pos': u'PUNCT', 'label': u'P', 'content': u']', 'lemma': u']'}, {'index': 5, 'begin': 13, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'We', 'lemma': u'We', 'char': ['Tony Stark', 'Happy Hogan', 'Part Guest']}, {'index': 5, 'begin': 16, 'pos': u'VERB', 'label': u'ROOT', 'content': u'create', 'lemma': u'create'}, {'index': 8, 'begin': 23, 'pos': u'PRON', 'label': u'POSS', 'content': u'our', 'lemma': u'our', 'char': ['Tony Stark', 'Happy Hogan', 'Part Guest']}, {'index': 8, 'begin': 27, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'own', 'lemma': u'own'}, {'index': 5, 'begin': 31, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'demons', 'lemma': u'demon'}, {'index': 5, 'begin': 37, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 11, 'begin': 39, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'Who', 'lemma': u'Who'}, {'index': 11, 'begin': 43, 'pos': u'VERB', 'label': u'ROOT', 'content': u'said', 'lemma': u'say'}, {'index': 11, 'begin': 48, 'pos': u'DET', 'label': u'DOBJ', 'content': u'that', 'lemma': u'that'}, {'index': 11, 'begin': 52, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}, {'index': 18, 'begin': 54, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'What', 'lemma': u'What'}, {'index': 18, 'begin': 59, 'pos': u'VERB', 'label': u'AUX', 'content': u'does', 'lemma': u'do'}, {'index': 18, 'begin': 64, 'pos': u'DET', 'label': u'NSUBJ', 'content': u'that', 'lemma': u'that'}, {'index': 18, 'begin': 69, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'even', 'lemma': u'even'}, {'index': 18, 'begin': 74, 'pos': u'VERB', 'label': u'ROOT', 'content': u'mean', 'lemma': u'mean'}, {'index': 18, 'begin': 78, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}, {'index': 22, 'begin': 80, 'pos': u'VERB', 'label': u'AUX', 'content': u'Does', 'lemma': u'do'}, {'index': 22, 'begin': 84, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 25, 'begin': 88, 'pos': u'VERB', 'label': u'ADVCL', 'content': u'matter', 'lemma': u'matter'}, {'index': 25, 'begin': 94, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 25, 'begin': 96, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Tony Stark']}, {'index': 25, 'begin': 98, 'pos': u'VERB', 'label': u'ROOT', 'content': u'said', 'lemma': u'say'}, {'index': 25, 'begin': 103, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'it', 'lemma': u'it'}, {'index': 29, 'begin': 106, 'pos': u'ADP', 'label': u'MARK', 'content': u'cause', 'lemma': u'cause'}, {'index': 29, 'begin': 112, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'he', 'lemma': u'he', 'char': ['Rose Hills Sheriff']}, {'index': 25, 'begin': 115, 'pos': u'VERB', 'label': u'ADVCL', 'content': u'said', 'lemma': u'say'}, {'index': 29, 'begin': 120, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'it', 'lemma': u'it'}, {'index': 25, 'begin': 122, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 35, 'begin': 124, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'So', 'lemma': u'So'}, {'index': 35, 'begin': 127, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'now', 'lemma': u'now'}, {'index': 35, 'begin': 131, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'he', 'lemma': u'he', 'char': ['Rose Hills Sheriff']}, {'index': 35, 'begin': 134, 'pos': u'VERB', 'label': u'ROOT', 'content': u'was', 'lemma': u'be'}, {'index': 35, 'begin': 138, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'famous', 'lemma': u'famous'}, {'index': 35, 'begin': 145, 'pos': u'CONJ', 'label': u'CC', 'content': u'and', 'lemma': u'and'}, {'index': 42, 'begin': 149, 'pos': u'DET', 'label': u'NSUBJPASS', 'content': u'that', 'lemma': u'that'}, {'index': 42, 'begin': 153, 'pos': u'VERB', 'label': u'AUXPASS', 'content': u""'s"", 'lemma': u'be'}, {'index': 42, 'begin': 156, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'basically', 'lemma': u'basically'}, {'index': 42, 'begin': 166, 'pos': u'VERB', 'label': u'AUXPASS', 'content': u'get', 'lemma': u'get'}, {'index': 35, 'begin': 170, 'pos': u'VERB', 'label': u'CONJ', 'content': u'said', 'lemma': u'say'}, {'index': 42, 'begin': 175, 'pos': u'ADP', 'label': u'PREP', 'content': u'by', 'lemma': u'by'}, {'index': 47, 'begin': 178, 'pos': u'NUM', 'label': u'NUM', 'content': u'two', 'lemma': u'two'}, {'index': 46, 'begin': 182, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'well', 'lemma': u'well'}, {'index': 47, 'begin': 187, 'pos': u'VERB', 'label': u'AMOD', 'content': u'known', 'lemma': u'know'}, {'index': 43, 'begin': 193, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'guys', 'lemma': u'guy'}, {'index': 35, 'begin': 197, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 50, 'begin': 199, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Tony Stark']}, {'index': 50, 'begin': 201, 'pos': u'VERB', 'label': u'ROOT', 'content': u'do', 'lemma': u'do'}, {'index': 50, 'begin': 203, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 50, 'begin': 206, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 50, 'begin': 208, 'pos': u'X', 'label': u'DISCOURSE', 'content': u'uh', 'lemma': u'uh'}, {'index': 50, 'begin': 210, 'pos': u'PUNCT', 'label': u'P', 'content': u'...', 'lemma': u'...'}, {'index': 57, 'begin': 213, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Tony Stark']}, {'index': 57, 'begin': 214, 'pos': u'VERB', 'label': u'AUX', 'content': u""'m"", 'lemma': u'be'}, {'index': 50, 'begin': 217, 'pos': u'VERB', 'label': u'PARATAXIS', 'content': u'gon', 'lemma': u'gon'}, {'index': 57, 'begin': 220, 'pos': u'PRT', 'label': u'XCOMP', 'content': u'na', 'lemma': u'na'}, {'index': 58, 'begin': 223, 'pos': u'VERB', 'label': u'DEP', 'content': u'start', 'lemma': u'start'}, {'index': 59, 'begin': 229, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'again', 'lemma': u'again'}, {'index': 50, 'begin': 234, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 62, 'begin': 236, 'pos': u'VERB', 'label': u'ROOT', 'content': u'Let', 'lemma': u'Let'}, {'index': 64, 'begin': 239, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u""'s"", 'lemma': u""'s""}, {'index': 62, 'begin': 242, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'track', 'lemma': u'track'}, {'index': 64, 'begin': 248, 'pos': u'DET', 'label': u'DOBJ', 'content': u'this', 'lemma': u'this'}, {'index': 64, 'begin': 253, 'pos': u'ADP', 'label': u'PREP', 'content': u'from', 'lemma': u'from'}, {'index': 68, 'begin': 258, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 66, 'begin': 262, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'beginning', 'lemma': u'beginning'}, {'index': 62, 'begin': 271, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",7,0.0,narrator,narrator,"['Tony Stark' 'Maya Hansen' 'Happy Hogan' 'Tony Stark' 'Happy Hogan'
 'narrator' 'Part Guest' 'Tony Stark' 'Happy Hogan' 'narrator' 'Tony Stark'
 'narrator' nan nan nan nan nan nan nan nan nan]"
2,narrator,"1999, Berns, Switzerland - we see flashback where Tony is at a New Year's Eve party","[{'content': u""1999, Berns, Switzerland - we see flashback where Tony is at a New Year's Eve party"", 'begin': 0, 'score': 0.3, 'magnitude': 0.3}]","{'score': 0.3, 'magnitude': 0.3}","[{'type': u'PERSON', 'meta': {}, 'salience': 0.3363613, 'name': u'Berns', 'mentions': [u'Berns']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.32445988, 'name': u'flashback', 'mentions': [u'flashback']}, {'type': u'LOCATION', 'meta': {u'mid': u'/m/06mzp', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Switzerland'}, 'salience': 0.14950144, 'name': u'Switzerland', 'mentions': [u'Switzerland']}, {'type': u'OTHER', 'meta': {u'mid': u'/m/0f8kh', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Tony_Award'}, 'salience': 0.11190592, 'name': u'Tony', 'mentions': [u'Tony']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.07777147, 'name': u'party', 'mentions': [u'party']}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Part Guest'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Happy Hogan'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'narrator'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Tony Stark'}, {'mentions': [u'we'], 'type': 'PERSON', 'name': 'Maya Hansen'}]","[{'index': 0, 'begin': 0, 'pos': u'NUM', 'label': u'ROOT', 'content': u'1999', 'lemma': u'1999'}, {'index': 0, 'begin': 4, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 0, 'begin': 6, 'pos': u'NOUN', 'label': u'APPOS', 'content': u'Berns', 'lemma': u'Berns'}, {'index': 2, 'begin': 11, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 2, 'begin': 13, 'pos': u'NOUN', 'label': u'APPOS', 'content': u'Switzerland', 'lemma': u'Switzerland'}, {'index': 0, 'begin': 25, 'pos': u'PUNCT', 'label': u'P', 'content': u'-', 'lemma': u'-'}, {'index': 7, 'begin': 27, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'we', 'lemma': u'we', 'char': ['narrator', 'Happy Hogan', 'Maya Hansen', 'Tony Stark', 'Part Guest']}, {'index': 0, 'begin': 30, 'pos': u'VERB', 'label': u'DEP', 'content': u'see', 'lemma': u'see'}, {'index': 7, 'begin': 34, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'flashback', 'lemma': u'flashback'}, {'index': 11, 'begin': 44, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'where', 'lemma': u'where'}, {'index': 11, 'begin': 50, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Tony', 'lemma': u'Tony'}, {'index': 8, 'begin': 55, 'pos': u'VERB', 'label': u'RCMOD', 'content': u'is', 'lemma': u'be'}, {'index': 11, 'begin': 58, 'pos': u'ADP', 'label': u'PREP', 'content': u'at', 'lemma': u'at'}, {'index': 15, 'begin': 61, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 15, 'begin': 63, 'pos': u'NOUN', 'label': u'NN', 'content': u'New', 'lemma': u'New'}, {'index': 18, 'begin': 67, 'pos': u'NOUN', 'label': u'POSS', 'content': u'Year', 'lemma': u'Year'}, {'index': 15, 'begin': 71, 'pos': u'PRT', 'label': u'PS', 'content': u""'s"", 'lemma': u""'s""}, {'index': 18, 'begin': 74, 'pos': u'NOUN', 'label': u'NN', 'content': u'Eve', 'lemma': u'Eve'}, {'index': 12, 'begin': 78, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'party', 'lemma': u'party'}]",1,0.09,Tony Stark,Happy Hogan,"['Maya Hansen' 'Tony Stark' 'Maya Hansen' 'Happy Hogan' 'Tony Stark'
 'Happy Hogan' 'narrator' 'Part Guest' 'Tony Stark' 'Happy Hogan'
 'narrator' 'Tony Stark' 'narrator' nan nan nan nan nan nan nan nan]"
3,Happy Hogan,[to Maya] Half hour till the ball drops.,"[{'content': u'[to Maya] Half hour till the ball drops.', 'begin': 0, 'score': -0.6, 'magnitude': 0.6}]","{'score': -0.6, 'magnitude': 0.6}","[{'type': u'PERSON', 'meta': {}, 'salience': 0.7055284, 'name': 'Maya Hansen', 'mentions': [u'Maya']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.29447165, 'name': u'ball', 'mentions': [u'ball']}]","[{'index': 1, 'begin': 0, 'pos': u'PUNCT', 'label': u'P', 'content': u'[', 'lemma': u'['}, {'index': 1, 'begin': 1, 'pos': u'ADP', 'label': u'ROOT', 'content': u'to', 'lemma': u'to'}, {'index': 1, 'begin': 4, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Maya', 'lemma': u'Maya'}, {'index': 1, 'begin': 8, 'pos': u'PUNCT', 'label': u'P', 'content': u']', 'lemma': u']'}, {'index': 5, 'begin': 10, 'pos': u'NOUN', 'label': u'NN', 'content': u'Half', 'lemma': u'Half'}, {'index': 1, 'begin': 15, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'hour', 'lemma': u'hour'}, {'index': 9, 'begin': 20, 'pos': u'ADP', 'label': u'MARK', 'content': u'till', 'lemma': u'till'}, {'index': 8, 'begin': 25, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 9, 'begin': 29, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'ball', 'lemma': u'ball'}, {'index': 5, 'begin': 34, 'pos': u'VERB', 'label': u'DEP', 'content': u'drops', 'lemma': u'drop'}, {'index': 1, 'begin': 39, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,-0.36,narrator,Tony Stark,"['Tony Stark' 'Maya Hansen' 'Tony Stark' 'Maya Hansen' 'Happy Hogan'
 'Tony Stark' 'Happy Hogan' 'narrator' 'Part Guest' 'Tony Stark'
 'Happy Hogan' 'narrator' 'Tony Stark' 'narrator' nan nan nan nan nan nan
 nan]"
4,Tony Stark,"Hey, do you want...?","[{'content': u'Hey, do you want...?', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}","[{'mentions': [u'you'], 'type': 'PERSON', 'name': 'Happy Hogan'}]","[{'index': 4, 'begin': 0, 'pos': u'X', 'label': u'DISCOURSE', 'content': u'Hey', 'lemma': u'Hey'}, {'index': 4, 'begin': 3, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 4, 'begin': 5, 'pos': u'VERB', 'label': u'AUX', 'content': u'do', 'lemma': u'do'}, {'index': 4, 'begin': 8, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you', 'char': ['Happy Hogan']}, {'index': 4, 'begin': 12, 'pos': u'VERB', 'label': u'ROOT', 'content': u'want', 'lemma': u'want'}, {'index': 4, 'begin': 16, 'pos': u'PUNCT', 'label': u'DEP', 'content': u'...', 'lemma': u'...'}, {'index': 4, 'begin': 19, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",1,0.0,Happy Hogan,Part Guest,"['narrator' 'Tony Stark' 'Maya Hansen' 'Tony Stark' 'Maya Hansen'
 'Happy Hogan' 'Tony Stark' 'Happy Hogan' 'narrator' 'Part Guest'
 'Tony Stark' 'Happy Hogan' 'narrator' 'Tony Stark' 'narrator' nan nan nan
 nan nan nan]"
5,Part Guest,"Tony Stark, great speech, man!","[{'content': u'Tony Stark, great speech, man!', 'begin': 0, 'score': 0.6, 'magnitude': 0.6}]","{'score': 0.6, 'magnitude': 0.6}","[{'type': u'PERSON', 'meta': {u'mid': u'/m/0hnws', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Iron_Man'}, 'salience': 0.77774286, 'name': u'Tony Stark', 'mentions': [u'Tony Stark', u'man']}, {'type': u'EVENT', 'meta': {}, 'salience': 0.22225711, 'name': u'speech', 'mentions': [u'speech']}]","[{'index': 1, 'begin': 0, 'pos': u'NOUN', 'label': u'NN', 'content': u'Tony', 'lemma': u'Tony'}, {'index': 1, 'begin': 5, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Stark', 'lemma': u'Stark'}, {'index': 1, 'begin': 10, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 4, 'begin': 12, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'great', 'lemma': u'great'}, {'index': 1, 'begin': 18, 'pos': u'NOUN', 'label': u'APPOS', 'content': u'speech', 'lemma': u'speech'}, {'index': 1, 'begin': 24, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 1, 'begin': 26, 'pos': u'NOUN', 'label': u'APPOS', 'content': u'man', 'lemma': u'man'}, {'index': 1, 'begin': 29, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]",0,0.36,Tony Stark,narrator,"['Maya Hansen' 'narrator' 'Tony Stark' 'Maya Hansen' 'Tony Stark'
 'Maya Hansen' 'Happy Hogan' 'Tony Stark' 'Happy Hogan' 'narrator'
 'Part Guest' 'Tony Stark' 'Happy Hogan' 'narrator' 'Tony Stark' 'narrator'
 nan nan nan nan nan]"
6,narrator,Hogan moves the man away from Tony,"[{'content': u'Hogan moves the man away from Tony', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'type': u'PERSON', 'meta': {u'mid': u'/m/01rzxl', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Hulk_Hogan'}, 'salience': 0.5991298, 'name': 'Happy Hogan', 'mentions': [u'Hogan']}, {'type': u'PERSON', 'meta': {}, 'salience': 0.2846926, 'name': 'The Mandarin', 'mentions': [u'man']}, {'type': u'OTHER', 'meta': {u'mid': u'/m/05d2fpv'}, 'salience': 0.11617762, 'name': u'Tony', 'mentions': [u'Tony']}]","[{'index': 1, 'begin': 0, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Hogan', 'lemma': u'Hogan'}, {'index': 1, 'begin': 6, 'pos': u'VERB', 'label': u'ROOT', 'content': u'moves', 'lemma': u'move'}, {'index': 3, 'begin': 12, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 1, 'begin': 16, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'man', 'lemma': u'man'}, {'index': 1, 'begin': 20, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'away', 'lemma': u'away'}, {'index': 4, 'begin': 25, 'pos': u'ADP', 'label': u'PREP', 'content': u'from', 'lemma': u'from'}, {'index': 5, 'begin': 30, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Tony', 'lemma': u'Tony'}]",0,0.01,Part Guest,Happy Hogan,"['Tony Stark' 'Maya Hansen' 'narrator' 'Tony Stark' 'Maya Hansen'
 'Tony Stark' 'Maya Hansen' 'Happy Hogan' 'Tony Stark' 'Happy Hogan'
 'narrator' 'Part Guest' 'Tony Stark' 'Happy Hogan' 'narrator' 'Tony Stark'
 'narrator' nan nan nan nan]"
7,Happy Hogan,I got it.,"[{'content': u'I got it.', 'begin': 0, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 0.2}","[{'mentions': [u'I'], 'type': 'PERSON', 'name': 'Happy Hogan'}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Happy Hogan']}, {'index': 1, 'begin': 2, 'pos': u'VERB', 'label': u'ROOT', 'content': u'got', 'lemma': u'get'}, {'index': 1, 'begin': 6, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'it', 'lemma': u'it'}, {'index': 1, 'begin': 8, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",1,0.04,narrator,Tony Stark,"['Maya Hansen' 'Tony Stark' 'Maya Hansen' 'narrator' 'Tony Stark'
 'Maya Hansen' 'Tony Stark' 'Maya Hansen' 'Happy Hogan' 'Tony Stark'
 'Happy Hogan' 'narrator' 'Part Guest' 'Tony Stark' 'Happy Hogan'
 'narrator' 'Tony Stark' 'narrator' nan nan nan]"
8,Tony Stark,I gave a speech? How was it?,"[{'content': u'I gave a speech?', 'begin': 0, 'score': -0.1, 'magnitude': 0.1}, {'content': u'How was it?', 'begin': 17, 'score': -0.2, 'magnitude': 0.2}]","{'score': -0.2, 'magnitude': 0.4}","[{'type': u'EVENT', 'meta': {}, 'salience': 1, 'name': u'speech', 'mentions': [u'speech']}, {'mentions': [u'I'], 'type': 'PERSON', 'name': 'Tony Stark'}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': ['Tony Stark']}, {'index': 1, 'begin': 2, 'pos': u'VERB', 'label': u'ROOT', 'content': u'gave', 'lemma': u'give'}, {'index': 3, 'begin': 7, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 1, 'begin': 9, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'speech', 'lemma': u'speech'}, {'index': 1, 'begin': 15, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}, {'index': 6, 'begin': 17, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'How', 'lemma': u'How'}, {'index': 6, 'begin': 21, 'pos': u'VERB', 'label': u'ROOT', 'content': u'was', 'lemma': u'be'}, {'index': 6, 'begin': 25, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'it', 'lemma': u'it'}, {'index': 6, 'begin': 27, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]",1,-0.08,Happy Hogan,Happy Hogan,"['narrator' 'Maya Hansen' 'Tony Stark' 'Maya Hansen' 'narrator'
 'Tony Stark' 'Maya Hansen' 'Tony Stark' 'Maya Hansen' 'Happy Hogan'
 'Tony Stark' 'Happy Hogan' 'narrator' 'Part Guest' 'Tony Stark'
 'Happy Hogan' 'narrator' 'Tony Stark' 'narrator' nan nan]"
9,Happy Hogan,Pitiful,"[{'content': u'Pitiful', 'begin': 0, 'score': -0.8, 'magnitude': 0.8}]","{'score': -0.8, 'magnitude': 0.8}",[],"[{'index': 0, 'begin': 0, 'pos': u'ADJ', 'label': u'ROOT', 'content': u'Pitiful', 'lemma': u'Pitiful'}]",0,-0.64,Tony Stark,Maya Hansen,"['Ho Yinsen' 'narrator' 'Maya Hansen' 'Tony Stark' 'Maya Hansen' 'narrator'
 'Tony Stark' 'Maya Hansen' 'Tony Stark' 'Maya Hansen' 'Happy Hogan'
 'Tony Stark' 'Happy Hogan' 'narrator' 'Part Guest' 'Tony Stark'
 'Happy Hogan' 'narrator' 'Tony Stark' 'narrator' nan]"
