narrator,movie opens with a 4 year-old Peter Parker playing hide and seek and looking for his father
Peter Parker - age 4,"Five, four, three, two, one. Ready or not, here I come. [Peter goes into his father's study and sees that it has been tossed and gets scared] Dad! Dad! [Peter's father enters looking concerned, he pulls out a drawer from his desk and removes a false bottom hiding a file, he takes the file, wipes off the equations on his blackboard, Peter's mother's carries Peter out of the office and as they leave we see a spider encased in glass on the desk] [after taking Peter to his uncle Ben and Aunt May's house]"
Richard Parker,You're gonna stay with your Aunt May and and Uncle Ben for a little while.
Peter Parker - age 4,"I wanna go with you. [Richard kisses Peter, then Peter's mother tenderly strokes Peter's face as she cries and gives instructions to May]"
Mary Parker,He doesn't like crust on his sandwiches and he likes to sleep with a little light on at night.
Richard Parker,Come on.
Peter Parker - age 4,Dad?
Richard Parker,"Be good. Richard turns and walks out of the house with Peter's mother] [we see Peter, now a teenager, putting up his photo of the debate team and as he's doing this he gets hit in the head with a basketball thrown by the school bully, Flash Thompson, who laughs at Peter and tries to scare Peter before walking off, as Peter walks down the school hallway he gets approached by a student]"
Hot Girl,"Hey, it's uh...Peter, right?"
Peter Parker,Mmhmm.
Hot Girl,I really like your photo's.
Peter Parker,"Oh, thanks."
Hot Girl,"Uh..listen, are you busy Friday night?"
Peter Parker,Uh... [Peter looks speechless then shakes his head]
Hot Girl,"Cool! Uh...can you take pictures of my boyfriend's car. I just, you know, I really wanna frame a good one for his Birthday."
Peter Parker,"That's really nice of you. Wow, that's such a nice thought. Um...yeah, I'll have a look at the old uh...the old schedule."
Hot Girl,"Okay. [at lunch in the school yard, Peter sees Flash bullying another kid, shoving his face in his food, and all the other kids around him chanting along for the kid to eat the food]"
Flash Thompson,"Hey, Parker, come on! Get a picture of this, come on."
Peter Parker,"I'm not gonna take a picture of this. Put him down, man. Put his down, man. [to the kid] Don't eat it. Don't eat it."
Flash Thompson,"Take the picture, Parker!"
Peter Parker,"Put him down, Flash."
Flash Thompson,Take a picture.
Peter Parker,"Put him down! Eugene! [the other students laugh, Flash drops the kid and suddenly punches Peter] Get up! Come on! Come on! [Flash kicks Peter in the stomach and Peter doubles up in pain]"
Peter Parker,I'm still not taking the picture.
Flash Thompson,"Stay down, Parker! [Flash turns to the crowd of students and starts shouting] Who wants one more! Huh? Huh? [Gwen who was sitting on her own in the year, walks over and calmly intervenes] Who wants one more! Huh? Huh? [Gwen who was sitting on her own in the year, walks over and calmly intervenes]"
Gwen Stacy,"Flash! Flash, are we still on for after school today? My house, three thirty? I hope you've been doing your homework. Last time I was very disappointed in you."
Flash Thompson,"Okay, listen..."
Gwen Stacy,"No, Flash, how about we go to class, hmm? How about it?"
Flash Thompson,"Whatever. [the school bell rings, Flash turns and walks off, Gwen gives Peter a look before walking off, Peter then finds his camera which is broken] ]later in class, after the Flash bullying incident]"
Gwen Stacy,"I thought that was great, what you did back there. It was stupid, but it was great. You should probably go to the nurse, you might have a concussion. What's your name?"
Peter Parker,You don't know my name?
Gwen Stacy,"No, I know your name. I just wanna know if you know your name."
Peter Parker,Peter...Parker. Peter Parker.
Gwen Stacy,"Okay, good. [she smiles and turns her face from Peter, Peter gives a longing look] I'd still go to the nurse though."
Peter Parker,"You're Gwen, right?"
Gwen Stacy,"Gwen Stacy. [later at home with his aunt, referring to his beat up looking face]"
Aunt May,"Oh, my God! What happened to your face?"
Peter Parker,"Oh, I'm alright. I just...I fell, skating. It's alright. [Peter's uncle walks into the kitchen carrying an looking box]"
Uncle Ben,[to Peter] What happened to you?
Uncle Ben,What happened to you?
Aunt May,"He fell. Why you kids ride those things, I'll never know."
Uncle Ben,Cause it's stupid and dangerous. Remember when we were stupid and dangerous?
Aunt May,No.
Uncle Ben,"Trust me, we were."
Peter Parker,"Good to know. [referring to his uncle's rolled up trousers and bare feet] Hey, where's the flood?"
Uncle Ben,"Follow me, I'll show you."
Peter Parker,You serious?
Uncle Ben,"Yes! [Peter follows his uncle to the basement] [in the basement, showing Peter the flood] I think it's a condenser tray."
Peter Parker,"No, too much water for the condenser tray or the heat exchange tubing. This has gotta be the filling."
Uncle Ben,That's the only thing that makes sense then. Can you fix it?
Peter Parker,"No, not tonight. I'll go by the hardware store tomorrow."
Uncle Ben,"Good deal. Meanwhile, put this on your face. [he give Peter an ice pack] How does the other guy look? [Peter doesn't reply]"
Peter Parker,"No, no."
Uncle Ben,"I wouldn't tell your Aunt May. I'd pity the poor kid who'd have to suffer her wrath. [Peter's uncle starts going back upstairs] Hey, before you come up, see if there's anything else worth saving."
Peter Parker,"Yeah. [as Peter looks around the basement he notices a leather briefcase that belonged to his father and takes it] [after finding his father's briefcase, he takes it to his room, he examines the briefcase further and finds a secret pocket that contains a folder of his fatherâ€™s equations, the main equation is marked with the symbol of two zeros crossed with diagonal lines] What is this? [reading from the notes in the file] Zero, zero, Decay Rate Algorithm. [there's a knock on his bedroom door] Yeah, one sec! One sec! [Peter quickly hides the briefcase and unlocks his door] Come in."
Uncle Ben,You okay?
Peter Parker,"Yeah, what's up? [referring to Peter's father] Oh, my God! You look just like him. [Peter takes off his glasses]"
Uncle Ben,May I come in?
Peter Parker,Yeah.
Uncle Ben,"Listen, um...I don't have much education, you know, Peter. Hell, I stopped being able to help with your homework when you were ten. What I'm trying to say is, I know it's been rough for you without your dad. And I know we don't talk much about them."
Peter Parker,"Yeah, it's fine."
Uncle Ben,"No, it is not alright. I wish I could change it, but I can't. [referring to photo of Gwen that Peter has on his computer screen] She's pretty. [as Peter's uncle is about to leave Peter's room]"
Peter Parker,Uncle Ben?
Uncle Ben,Yeah?
Peter Parker,"You're a pretty great dad, alright? [Peter's uncle smiles] [after Peter researches Connors online, he finds that he is working on cross-species genetics at OsCorp and Peter goes to OsCorp Tower]"
Receptionist,Excuse me?
Peter Parker,What?
Receptionist,Can I help you?
Peter Parker,"Oh, uh...I don't know. I'm here...I'm here to see Dr. Connors."
Receptionist,Right. You'll find yourself to the left. [Peter looks at her blankly] You are here for the internship?
Peter Parker,Yeah. Yeah.
Receptionist,Okay. You'll find your badge to the left. [Peter looks to the left and sees the name badges]
Peter Parker,Oh!
