,speaker,dialogue,sentences,sentiment,entities,tokens
0,narrator,first lines,"[{'content': u'first lines', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}","[{'salience': 1, 'meta': {}, 'type': u'OTHER', 'name': u'lines', 'mentions': [u'lines']}]","[{'index': 1, 'begin': 0, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'first', 'lemma': u'first'}, {'index': 1, 'begin': 6, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'lines', 'lemma': u'line'}]"
1,Jane Foster,Wait for it.,"[{'content': u'Wait for it.', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}",[],"[{'index': 0, 'begin': 0, 'pos': u'VERB', 'label': u'ROOT', 'content': u'Wait', 'lemma': u'Wait'}, {'index': 0, 'begin': 5, 'pos': u'ADP', 'label': u'PREP', 'content': u'for', 'lemma': u'for'}, {'index': 1, 'begin': 9, 'pos': u'PRON', 'label': u'POBJ', 'content': u'it', 'lemma': u'it'}, {'index': 0, 'begin': 11, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
2,Darcy Lewis,Can I turn on the radio?,"[{'content': u'Can I turn on the radio?', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}","[{'salience': 1, 'meta': {}, 'type': u'OTHER', 'name': u'radio', 'mentions': [u'radio']}]","[{'index': 2, 'begin': 0, 'pos': u'VERB', 'label': u'AUX', 'content': u'Can', 'lemma': u'Can'}, {'index': 2, 'begin': 4, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I'}, {'index': 2, 'begin': 6, 'pos': u'VERB', 'label': u'ROOT', 'content': u'turn', 'lemma': u'turn'}, {'index': 2, 'begin': 11, 'pos': u'ADP', 'label': u'PREP', 'content': u'on', 'lemma': u'on'}, {'index': 5, 'begin': 14, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 3, 'begin': 18, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'radio', 'lemma': u'radio'}, {'index': 2, 'begin': 23, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]"
3,Jane Foster,No!,"[{'content': u'No!', 'begin': 0, 'score': -0.4, 'magnitude': 0.4}]","{'score': -0.4, 'magnitude': 0.4}",[],"[{'index': 0, 'begin': 0, 'pos': u'X', 'label': u'ROOT', 'content': u'No', 'lemma': u'No'}, {'index': 0, 'begin': 2, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]"
4,Erik Selvig,"Jane, you can't keep doing this.","[{'content': u""Jane, you can't keep doing this."", 'begin': 0, 'score': -0.6, 'magnitude': 0.6}]","{'score': -0.6, 'magnitude': 0.6}","[{'salience': 1, 'meta': {u'mid': u'/m/05d4ryq'}, 'type': u'PERSON', 'name': u'Jane', 'mentions': [u'Jane']}]","[{'index': 5, 'begin': 0, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Jane', 'lemma': u'Jane'}, {'index': 5, 'begin': 4, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 5, 'begin': 6, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you'}, {'index': 5, 'begin': 10, 'pos': u'VERB', 'label': u'AUX', 'content': u'ca', 'lemma': u'ca'}, {'index': 5, 'begin': 12, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 5, 'begin': 16, 'pos': u'VERB', 'label': u'ROOT', 'content': u'keep', 'lemma': u'keep'}, {'index': 5, 'begin': 21, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'doing', 'lemma': u'do'}, {'index': 6, 'begin': 27, 'pos': u'DET', 'label': u'DOBJ', 'content': u'this', 'lemma': u'this'}, {'index': 5, 'begin': 31, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
5,Jane Foster,The last seventeen occurrences had been predictable to this second! [she checks through her notebook],"[{'content': u'The last seventeen occurrences had been predictable to this second! [she checks through her notebook]', 'begin': 0, 'score': -0.2, 'magnitude': 0.2}]","{'score': -0.2, 'magnitude': 0.2}","[{'salience': 0.583006, 'meta': {}, 'type': u'OTHER', 'name': u'occurrences', 'mentions': [u'occurrences']}, {'salience': 0.2794791, 'meta': {}, 'type': u'OTHER', 'name': u'second', 'mentions': [u'second']}, {'salience': 0.13751486, 'meta': {}, 'type': u'OTHER', 'name': u'notebook', 'mentions': [u'notebook']}]","[{'index': 3, 'begin': 0, 'pos': u'DET', 'label': u'DET', 'content': u'The', 'lemma': u'The'}, {'index': 3, 'begin': 4, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'last', 'lemma': u'last'}, {'index': 3, 'begin': 9, 'pos': u'NUM', 'label': u'NUM', 'content': u'seventeen', 'lemma': u'seventeen'}, {'index': 5, 'begin': 19, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'occurrences', 'lemma': u'occurrence'}, {'index': 5, 'begin': 31, 'pos': u'VERB', 'label': u'AUX', 'content': u'had', 'lemma': u'have'}, {'index': 5, 'begin': 35, 'pos': u'VERB', 'label': u'ROOT', 'content': u'been', 'lemma': u'be'}, {'index': 5, 'begin': 40, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'predictable', 'lemma': u'predictable'}, {'index': 6, 'begin': 52, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 9, 'begin': 55, 'pos': u'DET', 'label': u'DET', 'content': u'this', 'lemma': u'this'}, {'index': 7, 'begin': 60, 'pos': u'ADJ', 'label': u'POBJ', 'content': u'second', 'lemma': u'second'}, {'index': 5, 'begin': 66, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}, {'index': 13, 'begin': 68, 'pos': u'PUNCT', 'label': u'P', 'content': u'[', 'lemma': u'['}, {'index': 13, 'begin': 69, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'she', 'lemma': u'she'}, {'index': 5, 'begin': 73, 'pos': u'VERB', 'label': u'PARATAXIS', 'content': u'checks', 'lemma': u'check'}, {'index': 13, 'begin': 80, 'pos': u'ADP', 'label': u'PREP', 'content': u'through', 'lemma': u'through'}, {'index': 16, 'begin': 88, 'pos': u'PRON', 'label': u'POSS', 'content': u'her', 'lemma': u'her'}, {'index': 14, 'begin': 92, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'notebook', 'lemma': u'notebook'}, {'index': 13, 'begin': 100, 'pos': u'PUNCT', 'label': u'P', 'content': u']', 'lemma': u']'}]"
6,Erik Selvig,"Jane, you're an astrophysicist, not some storm chaser!","[{'content': u""Jane, you're an astrophysicist, not some storm chaser!"", 'begin': 0, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 0.2}","[{'salience': 0.8433054, 'meta': {u'mid': u'/m/05d4ryq'}, 'type': u'PERSON', 'name': u'Jane', 'mentions': [u'Jane', u'astrophysicist']}, {'salience': 0.15669459, 'meta': {}, 'type': u'OTHER', 'name': u'storm chaser', 'mentions': [u'storm chaser']}]","[{'index': 3, 'begin': 0, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Jane', 'lemma': u'Jane'}, {'index': 3, 'begin': 4, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 3, 'begin': 6, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you'}, {'index': 3, 'begin': 9, 'pos': u'VERB', 'label': u'ROOT', 'content': u""'re"", 'lemma': u'be'}, {'index': 5, 'begin': 13, 'pos': u'DET', 'label': u'DET', 'content': u'an', 'lemma': u'an'}, {'index': 3, 'begin': 16, 'pos': u'NOUN', 'label': u'ATTR', 'content': u'astrophysicist', 'lemma': u'astrophysicist'}, {'index': 5, 'begin': 30, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 5, 'begin': 32, 'pos': u'ADV', 'label': u'NEG', 'content': u'not', 'lemma': u'not'}, {'index': 10, 'begin': 36, 'pos': u'DET', 'label': u'DET', 'content': u'some', 'lemma': u'some'}, {'index': 10, 'begin': 41, 'pos': u'NOUN', 'label': u'NN', 'content': u'storm', 'lemma': u'storm'}, {'index': 5, 'begin': 47, 'pos': u'NOUN', 'label': u'DEP', 'content': u'chaser', 'lemma': u'chaser'}, {'index': 3, 'begin': 53, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]"
7,Jane Foster,"I'm telling you, there's a connection between these atmosphere disturbances and my research. Eric, I...I wouldn't ask you to fly out here if I wasn't absolutely sure. [going onto the roof of their vehicle to get a clearer look] God!","[{'content': u""I'm telling you, there's a connection between these atmosphere disturbances and my research."", 'begin': 0, 'score': -0.6, 'magnitude': 0.6}, {'content': u""Eric, I...I wouldn't ask you to fly out here if I wasn't absolutely sure."", 'begin': 93, 'score': 0, 'magnitude': 0}, {'content': u'[going onto the roof of their vehicle to get a clearer look] God!', 'begin': 167, 'score': 0.4, 'magnitude': 0.4}]","{'score': 0, 'magnitude': 1.1}","[{'salience': 0.29372552, 'meta': {}, 'type': u'OTHER', 'name': u'connection', 'mentions': [u'connection']}, {'salience': 0.2661301, 'meta': {}, 'type': u'OTHER', 'name': u'atmosphere disturbances', 'mentions': [u'atmosphere disturbances']}, {'salience': 0.18555869, 'meta': {}, 'type': u'OTHER', 'name': u'research', 'mentions': [u'research']}, {'salience': 0.061726734, 'meta': {}, 'type': u'LOCATION', 'name': u'roof', 'mentions': [u'roof']}, {'salience': 0.061726734, 'meta': {}, 'type': u'CONSUMER_GOOD', 'name': u'vehicle', 'mentions': [u'vehicle']}, {'salience': 0.053014364, 'meta': {u'mid': u'/m/0czptg'}, 'type': u'PERSON', 'name': u'Eric', 'mentions': [u'Eric']}, {'salience': 0.05297724, 'meta': {}, 'type': u'OTHER', 'name': u'look', 'mentions': [u'look']}, {'salience': 0.025140636, 'meta': {u'mid': u'/m/0d05l6', u'wikipedia_url': u'http://en.wikipedia.org/wiki/God'}, 'type': u'PERSON', 'name': u'God', 'mentions': [u'God']}]","[{'index': 2, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I'}, {'index': 2, 'begin': 1, 'pos': u'VERB', 'label': u'AUX', 'content': u""'m"", 'lemma': u'be'}, {'index': 2, 'begin': 4, 'pos': u'VERB', 'label': u'ROOT', 'content': u'telling', 'lemma': u'tell'}, {'index': 2, 'begin': 12, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'you', 'lemma': u'you'}, {'index': 2, 'begin': 15, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 6, 'begin': 17, 'pos': u'DET', 'label': u'EXPL', 'content': u'there', 'lemma': u'there'}, {'index': 2, 'begin': 22, 'pos': u'VERB', 'label': u'PARATAXIS', 'content': u""'s"", 'lemma': u'be'}, {'index': 8, 'begin': 25, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 6, 'begin': 27, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'connection', 'lemma': u'connection'}, {'index': 8, 'begin': 38, 'pos': u'ADP', 'label': u'PREP', 'content': u'between', 'lemma': u'between'}, {'index': 12, 'begin': 46, 'pos': u'DET', 'label': u'DET', 'content': u'these', 'lemma': u'these'}, {'index': 12, 'begin': 52, 'pos': u'NOUN', 'label': u'NN', 'content': u'atmosphere', 'lemma': u'atmosphere'}, {'index': 9, 'begin': 63, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'disturbances', 'lemma': u'disturbance'}, {'index': 12, 'begin': 76, 'pos': u'CONJ', 'label': u'CC', 'content': u'and', 'lemma': u'and'}, {'index': 15, 'begin': 80, 'pos': u'PRON', 'label': u'POSS', 'content': u'my', 'lemma': u'my'}, {'index': 12, 'begin': 83, 'pos': u'NOUN', 'label': u'CONJ', 'content': u'research', 'lemma': u'research'}, {'index': 2, 'begin': 91, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 24, 'begin': 93, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Eric', 'lemma': u'Eric'}, {'index': 24, 'begin': 97, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 24, 'begin': 99, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I'}, {'index': 24, 'begin': 100, 'pos': u'PUNCT', 'label': u'P', 'content': u'...', 'lemma': u'...'}, {'index': 24, 'begin': 103, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I'}, {'index': 24, 'begin': 105, 'pos': u'VERB', 'label': u'AUX', 'content': u'would', 'lemma': u'would'}, {'index': 24, 'begin': 110, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 24, 'begin': 114, 'pos': u'VERB', 'label': u'ROOT', 'content': u'ask', 'lemma': u'ask'}, {'index': 24, 'begin': 118, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'you', 'lemma': u'you'}, {'index': 27, 'begin': 122, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 24, 'begin': 125, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'fly', 'lemma': u'fly'}, {'index': 27, 'begin': 129, 'pos': u'PRT', 'label': u'PRT', 'content': u'out', 'lemma': u'out'}, {'index': 27, 'begin': 133, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'here', 'lemma': u'here'}, {'index': 32, 'begin': 138, 'pos': u'ADP', 'label': u'MARK', 'content': u'if', 'lemma': u'if'}, {'index': 32, 'begin': 141, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I'}, {'index': 27, 'begin': 143, 'pos': u'VERB', 'label': u'ADVCL', 'content': u'was', 'lemma': u'be'}, {'index': 32, 'begin': 146, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 35, 'begin': 150, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'absolutely', 'lemma': u'absolutely'}, {'index': 32, 'begin': 161, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'sure', 'lemma': u'sure'}, {'index': 24, 'begin': 165, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 38, 'begin': 167, 'pos': u'PUNCT', 'label': u'P', 'content': u'[', 'lemma': u'['}, {'index': 38, 'begin': 168, 'pos': u'VERB', 'label': u'ROOT', 'content': u'going', 'lemma': u'go'}, {'index': 38, 'begin': 174, 'pos': u'ADP', 'label': u'PREP', 'content': u'onto', 'lemma': u'onto'}, {'index': 41, 'begin': 179, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 39, 'begin': 183, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'roof', 'lemma': u'roof'}, {'index': 41, 'begin': 188, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 44, 'begin': 191, 'pos': u'PRON', 'label': u'POSS', 'content': u'their', 'lemma': u'their'}, {'index': 42, 'begin': 197, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'vehicle', 'lemma': u'vehicle'}, {'index': 46, 'begin': 205, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 38, 'begin': 208, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'get', 'lemma': u'get'}, {'index': 49, 'begin': 212, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 49, 'begin': 214, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'clearer', 'lemma': u'clear'}, {'index': 46, 'begin': 222, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'look', 'lemma': u'look'}, {'index': 49, 'begin': 226, 'pos': u'PUNCT', 'label': u'P', 'content': u']', 'lemma': u']'}, {'index': 49, 'begin': 228, 'pos': u'NOUN', 'label': u'APPOS', 'content': u'God', 'lemma': u'God'}, {'index': 38, 'begin': 231, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]"
8,Erik Selvig,I thought you said it was a subtle aurora!,"[{'content': u'I thought you said it was a subtle aurora!', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'salience': 1, 'meta': {}, 'type': u'LOCATION', 'name': u'aurora', 'mentions': [u'aurora']}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I'}, {'index': 1, 'begin': 2, 'pos': u'VERB', 'label': u'ROOT', 'content': u'thought', 'lemma': u'think'}, {'index': 3, 'begin': 10, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you'}, {'index': 1, 'begin': 14, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'said', 'lemma': u'say'}, {'index': 5, 'begin': 19, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'it', 'lemma': u'it'}, {'index': 3, 'begin': 22, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'was', 'lemma': u'be'}, {'index': 8, 'begin': 26, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 8, 'begin': 28, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'subtle', 'lemma': u'subtle'}, {'index': 5, 'begin': 35, 'pos': u'NOUN', 'label': u'ATTR', 'content': u'aurora', 'lemma': u'aurora'}, {'index': 1, 'begin': 41, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]"
9,Jane Foster,[to Darcy] Go!,"[{'content': u'[to Darcy] Go!', 'begin': 0, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 0.2}","[{'salience': 1, 'meta': {}, 'type': u'PERSON', 'name': u'Darcy', 'mentions': [u'Darcy']}]","[{'index': 4, 'begin': 0, 'pos': u'PUNCT', 'label': u'P', 'content': u'[', 'lemma': u'['}, {'index': 4, 'begin': 1, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 1, 'begin': 4, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Darcy', 'lemma': u'Darcy'}, {'index': 4, 'begin': 9, 'pos': u'PUNCT', 'label': u'P', 'content': u']', 'lemma': u']'}, {'index': 4, 'begin': 11, 'pos': u'VERB', 'label': u'ROOT', 'content': u'Go', 'lemma': u'Go'}, {'index': 4, 'begin': 13, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]"
