Charles,"Mutants, born with extraordinary abilities, and yet still, they are children, stumbling in the dark, searching for guidance. A gift can often be a curse. Give someone wings, and they may fly too close to the sun. Give them the power of prophecy, and they may live in fear of the future. Give them the greatest gift of all, powers beyond imagination, and they may think they are meant to rule the world."
Death,"Soon, you will rule forever, My Lord."
Egyptian Guard,DEATH TO THE FALSE GOD!
Horsemen of Apocalypse,Watch over him!
Teacher,"As everyone knows, the existence of mutants was first discovered during the Paris Peace Accords after the Vietnam war in 1973. 6 days later, we all watched as one of those mutants... Erik Lehnsherr, attacked the president and the cabinet on the lawn of the White House. Their lives were saved by a young mutant, who stopped him. Now, Lehnsherr escaped and became the world's most wanted fugitive. And as for her, she disappeared as well. But, she has become the symbol of a new age. The face of a world that will never be the same again."
Dude,You winking at my girl?
Teacher,"Yes, the world is panicked."
Scott,Your girl.
Teacher,... and there is still some prejudice.
Scott,I guess you do look old enough
Teacher,"But today,"
Scott,to be her father.
Teacher,"mutants are found in all walks of life. Excuse me, gentlemen, is there something that you would like to be sharing with the rest of the class?"
Scott,Can I please go to the bathroom. I think there's something seriously wrong with my eyes.
Teacher,"Fine, Scott, and afterward, why don't you stop by the principals office and explain to him that you're disrupting the class again. I trust you know the way."
Scott,"Yeah, I do."
Teacher,"Okay. (Bell rings) Oh. Hang on. Hang on. Now, I know most of you were what? Around 7 years old at that time."
Dude,Summers! I know you're in here. Are you crying? I haven't even kick your ass yet. Summers. You want to eyeball my girl? Summers. Summers.
Announcer,EAST BERLIN YES! 10 fights. 10 victories. The Winged Warrior. The Bird of Prey. The Angel of Death. ANGEL! Yes! A round of applause for fat boy!
Crowd,Boo!
Announcer," Our next opponent comes directly from Circus Munich. FIGH Ladies and gentlemen. The one who could face an Angel is the devil himself! Presenting. The amazing, the fantastic, Nightcrawler! Caution. High voltage. Sorry, mutants!"
Bodyguard,"Hey. You lost, little girl? The fight is there."
Angel,Fight! Or they'll kill us both.
Bodyguard,It's getting exciting.
Raven,"Ah, you mean this. Yeah?"
Crowd,Nightcrawler! - Nightcrawler! - Nightcrawler!
Nightcrawler,I'm sorry. I'm sorry!
Raven,Come with me.
Bodyguard,Hold it!
Raven,They went over there!
Nightcrawler,"You can transform. - You're her, the hero."
Raven,"I'm nobody. I'm not a hero. Let's get out of here. PRUSZKOW, POLAND"
Worker,"Have a good night, Henryk."
