Eric's Mom,(Shouting in German)
Young Eric,"Mama! (Screaming) Mama! (Screaming) (Screaming, grunting) (Grunting) (Yelling) (as he yells, noises are heard from the gate, and it starts moving on its own and bending forward, as if Eric is calling to it) (a soldier knocks Eric out with the butt of his gun, while a man watches from inside)"
Young Charles,Mother. What are you... I thought you were a burglar.
Charles' Mom,"I didn't mean to scare you, darling. I was just getting a snack. Go back to bed."
narrator,Charles goes quiet and stares at his mother
Charles' Mom,"What's the matter? Go on, back to bed."
narrator,Charles remains silent
Charles' Mom,I'll make you a hot chocolate. (Charles looks at a picture of him and his mom)
Young Charles,"Who are you? And what have you done with my mother? (Echoing) [using his power to speak into Mrs. Xavier's mind] My mother has never set foot in this kitchen in her life. And she certainly never made me hot chocolate, unless you count ordering the maid to do it. (Chuckles softy)"
narrator,suddenly Charles's mother shifts shape and becomes a young Raven
Young Raven,You're not scared of me?
Young Charles,I always believed I couldn't be the only one in the world. The only person who was... different. And here you are. Charles Xavier.
Young Raven,Raven.
Young Charles,"You're hungry and alone. Take whatever you want. We've got lots of food. You don't have to steal. In fact, you never have to steal again."
Young Raven,(Chuckles softy)
narrator,At a Nazi concentration camp in Poland
narrator,Shaw addresses young Erik in German in his office in a concentration camp
Shaw,"Understand this, Erik... These Nazis, I'm not like them. Genes are the key, yes? But their goals? Blue eyes? Blonde hair? Pathetic."
narrator,he gives him a chocolate bar
Shaw,Eat the chocolate. It's good. Want some?
Young Erik,I want to see my mama.
narrator,Shaw addresses young Erik in German in his office in a concentration camp
Shaw,"Genes are the key that unlocks the door to a new age, Erik. A new future for mankind. Evolution. You know what I'm talking about? It's a simple thing I ask of you. [gestures to a small Nazi coin on the desk] A little coin is nothing compared to a big gate. Is it?"
narrator,Erik attempts to move the coin but fails
narrator,Erik tries to move the coin on the desk with his powers but fails
Young Erik,"(Grunting) (Sighs, Panting) I tried, Herr Doctor. I can't... I don't... It's impossible. (Sighs)"
Shaw,"The one thing I can say for the Nazis is their thehods seem to produce results. (Clicking tongue) I'm sorry, Erik."
Young Erik,Mama!
Erik's Mom,My darling. How are you? Nein!
narrator,Erik's mother has been been brought to Shaw's office
Shaw,[he gestures to the soldiers to hold her back] Here's what we're going to do. I'm going to count to three...
narrator,he opens a drawer and pulls out a gun
Shaw,"...and you're going to move the coin. You don't move the coin, I pull the trigger."
narrator,Shaw points a gun at Erik's mother he points the gun at his mother
Shaw,Understand?
narrator,Erik attempts to move it again without success with a sense of urgency
Shaw,One.
Young Erik,[he looks to his mother] Mama...
Erik's Mom,You can do it.
Shaw,Two.
narrator,he grows impatient
narrator,Erik looks at his mother
Erik's Mom,Everything is alright.
narrator,Erik concentrates even harder
Young Erik,(Grunts)
Erik's Mom,Alles ist gut. Alles ist gut.
narrator,Erik keeps trying to move the coin but fails
Shaw,Three.
narrator,he shoots and kills Erik's mother; trauma angers Erik to crush a small metal bell
Shaw,Yes. Wonderful.
narrator,sees Erik crush a metal filing cabinet
Shaw,Excellent.
narrator,Erik loses control and crushes the soldiers' helmets on their heads before sending all metal objects across the room. Schmidt consoles him after he crises
narrator,after his mother is killed a grief stricken Erik shows the full extense of his powers
Shaw,"Outstanding, Erik. So we unlock your gift with anger. Anger and pain. You and me... we're going to have a lot of fun together."
narrator,he leaves the Nazi coin in Erik's hand and he leaves
narrator,"the Title Sequence appears and then we see a grown up Eric moving the same coin magnetically through his fingers. he looks at Shaw's picture and magnetically throws the coin at its head, signifying he hasn't forgiven him"
narrator,looking at a beautiful woman in a bar
Charles,Heterochromia.
Amy,A gentlemen would at least offer to buy me a drink first.
narrator,Charles turns to the barman
Charles,"(Chuckles) Norman, pint of bitter for me and brandy for the lady, please."
Amy,How did you know that?
Charles,Lucky guess. Name's Xavier. Charles Xavier. How do you do?
Amy,Amy.
Charles,"Heterochromica was in reference to your eyes, which I have to say are stunning. One green, one blue. It's a mutation. It's a very groovy mutation. I've got news for you, Amy. You are a mutant."
Amy,"First you proposition a girl, and then you call her deformed. How is that seduction technique working for you?"
Charles,I'll tell you in the morning.
narrator,Amy smiles and Charles laughs
Charles,"No, no, seriously, though, you mustn't knock it. Mutation took us from single-celled organisms to being the dominant form of reproductive life of this planet, Infinite forms of variation with each generation, all through mutation."
Amy,"Then, let's reclaim that word. Mutant and proud."
Charles,Chin-chin. Hey.
narrator,"Raven, who was watching and listening, walks over and is clearly jealous"
