,speaker,dialogue,sentences,sentiment,entities,tokens,num_pron,total_sent,speaker_prev,speaker_next,nearbyChars
0,narrator,1989 – Hank Pym enters a SHIELD facility,"[{'content': u'1989 \u2013 Hank Pym enters a SHIELD facility', 'begin': 0, 'score': 0.3, 'magnitude': 0.3}]","{'score': 0.3, 'magnitude': 0.3}","[{'type': u'PERSON', 'meta': {}, 'salience': 0.5188706, 'name': u'Hank Pym', 'mentions': [u'Hank Pym']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.48112938, 'name': u'SHIELD facility', 'mentions': [u'SHIELD facility']}]","[{'index': 0, 'begin': 0, 'pos': u'NUM', 'label': u'ROOT', 'content': u'1989', 'lemma': u'1989'}, {'index': 0, 'begin': 5, 'pos': u'PUNCT', 'label': u'P', 'content': u'\u2013', 'lemma': u'\u2013'}, {'index': 3, 'begin': 7, 'pos': u'NOUN', 'label': u'NN', 'content': u'Hank', 'lemma': u'Hank'}, {'index': 4, 'begin': 12, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Pym', 'lemma': u'Pym'}, {'index': 0, 'begin': 16, 'pos': u'VERB', 'label': u'PARATAXIS', 'content': u'enters', 'lemma': u'enter'}, {'index': 7, 'begin': 23, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 7, 'begin': 25, 'pos': u'NOUN', 'label': u'NN', 'content': u'SHIELD', 'lemma': u'SHIELD'}, {'index': 4, 'begin': 32, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'facility', 'lemma': u'facility'}]",0,0.09,,Dr. Hank Pym,[nan nan 'narrator' 'Dr. Hank Pym' 'Mitchell Carson']
1,Dr. Hank Pym,Stark.,"[{'content': u'Stark.', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'type': u'WORK_OF_ART', 'meta': {}, 'salience': 1, 'name': u'Stark', 'mentions': [u'Stark']}]","[{'index': 0, 'begin': 0, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Stark', 'lemma': u'Stark'}, {'index': 0, 'begin': 5, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",0,0.01,narrator,Mitchell Carson,[nan 'narrator' 'Dr. Hank Pym' 'Mitchell Carson' 'Howard Stark']
2,Mitchell Carson,He doesn't seem happy.,"[{'content': u""He doesn't seem happy."", 'begin': 0, 'score': -0.6, 'magnitude': 0.6}]","{'score': -0.6, 'magnitude': 0.6}",[],"[{'index': 3, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'He', 'lemma': u'He', 'char': 'Computer'}, {'index': 3, 'begin': 3, 'pos': u'VERB', 'label': u'AUX', 'content': u'does', 'lemma': u'do'}, {'index': 3, 'begin': 7, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 3, 'begin': 11, 'pos': u'VERB', 'label': u'ROOT', 'content': u'seem', 'lemma': u'seem'}, {'index': 3, 'begin': 16, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'happy', 'lemma': u'happy'}, {'index': 3, 'begin': 21, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",1,-0.36,Dr. Hank Pym,Howard Stark,['narrator' 'Dr. Hank Pym' 'Mitchell Carson' 'Howard Stark' 'Dr. Hank Pym']
3,Howard Stark,"Hello, Hank. You're supposed to be in Moscow.","[{'content': u'Hello, Hank.', 'begin': 0, 'score': 0.4, 'magnitude': 0.4}, {'content': u""You're supposed to be in Moscow."", 'begin': 13, 'score': -0.6, 'magnitude': 0.6}]","{'score': -0.1, 'magnitude': 1}","[{'type': u'PERSON', 'meta': {}, 'salience': 0.80661523, 'name': u'Hank', 'mentions': [u'Hank']}, {'type': u'LOCATION', 'meta': {u'mid': u'/m/04swd', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Moscow'}, 'salience': 0.19338477, 'name': u'Moscow', 'mentions': [u'Moscow']}]","[{'index': 2, 'begin': 0, 'pos': u'X', 'label': u'DISCOURSE', 'content': u'Hello', 'lemma': u'Hello'}, {'index': 2, 'begin': 5, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 2, 'begin': 7, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Hank', 'lemma': u'Hank'}, {'index': 2, 'begin': 11, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 6, 'begin': 13, 'pos': u'PRON', 'label': u'NSUBJPASS', 'content': u'You', 'lemma': u'You', 'char': 'Dr. Hank Pym'}, {'index': 6, 'begin': 16, 'pos': u'VERB', 'label': u'AUXPASS', 'content': u""'re"", 'lemma': u'be'}, {'index': 6, 'begin': 20, 'pos': u'VERB', 'label': u'ROOT', 'content': u'supposed', 'lemma': u'suppose'}, {'index': 8, 'begin': 29, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 6, 'begin': 32, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'be', 'lemma': u'be'}, {'index': 8, 'begin': 35, 'pos': u'ADP', 'label': u'PREP', 'content': u'in', 'lemma': u'in'}, {'index': 9, 'begin': 38, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Moscow', 'lemma': u'Moscow'}, {'index': 6, 'begin': 44, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",1,-0.1,Mitchell Carson,Dr. Hank Pym,"['Dr. Hank Pym' 'Mitchell Carson' 'Howard Stark' 'Dr. Hank Pym'
 'Peggy Carter']"
4,Dr. Hank Pym,I took a detour.[he places a vial containing a red serum on the table] Through your defense lab.,"[{'content': u'I took a detour.[he places a vial containing a red serum on the table] Through your defense lab.', 'begin': 0, 'score': 0.4, 'magnitude': 0.4}]","{'score': 0.4, 'magnitude': 0.4}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.34197578, 'name': u'detour.', 'mentions': [u'detour.']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.27677295, 'name': u'vial', 'mentions': [u'vial']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.1932037, 'name': u'serum', 'mentions': [u'serum']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.107345425, 'name': u'defense lab', 'mentions': [u'defense lab']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.080702156, 'name': u'table', 'mentions': [u'table']}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': 'Dr. Hank Pym'}, {'index': 1, 'begin': 2, 'pos': u'VERB', 'label': u'ROOT', 'content': u'took', 'lemma': u'take'}, {'index': 3, 'begin': 7, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 1, 'begin': 9, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'detour.', 'lemma': u'detour.'}, {'index': 6, 'begin': 16, 'pos': u'PUNCT', 'label': u'P', 'content': u'[', 'lemma': u'['}, {'index': 6, 'begin': 17, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'he', 'lemma': u'he', 'char': 'Computer'}, {'index': 3, 'begin': 20, 'pos': u'VERB', 'label': u'DEP', 'content': u'places', 'lemma': u'place'}, {'index': 8, 'begin': 27, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 6, 'begin': 29, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'vial', 'lemma': u'vial'}, {'index': 8, 'begin': 34, 'pos': u'VERB', 'label': u'VMOD', 'content': u'containing', 'lemma': u'contain'}, {'index': 12, 'begin': 45, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 12, 'begin': 47, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'red', 'lemma': u'red'}, {'index': 9, 'begin': 51, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'serum', 'lemma': u'serum'}, {'index': 12, 'begin': 57, 'pos': u'ADP', 'label': u'PREP', 'content': u'on', 'lemma': u'on'}, {'index': 15, 'begin': 60, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 13, 'begin': 64, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'table', 'lemma': u'table'}, {'index': 12, 'begin': 69, 'pos': u'PUNCT', 'label': u'P', 'content': u']', 'lemma': u']'}, {'index': 9, 'begin': 71, 'pos': u'ADP', 'label': u'PREP', 'content': u'Through', 'lemma': u'Through'}, {'index': 20, 'begin': 79, 'pos': u'PRON', 'label': u'POSS', 'content': u'your', 'lemma': u'your', 'char': 'Howard Stark'}, {'index': 20, 'begin': 84, 'pos': u'NOUN', 'label': u'NN', 'content': u'defense', 'lemma': u'defense'}, {'index': 17, 'begin': 92, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'lab', 'lemma': u'lab'}, {'index': 1, 'begin': 95, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",3,0.16,Howard Stark,Peggy Carter,"['Mitchell Carson' 'Howard Stark' 'Dr. Hank Pym' 'Peggy Carter'
 'Dr. Hank Pym']"
5,Peggy Carter,Tell me that isn't what I think it is.,"[{'content': u""Tell me that isn't what I think it is."", 'begin': 0, 'score': -0.6, 'magnitude': 0.6}]","{'score': -0.6, 'magnitude': 0.6}",[],"[{'index': 0, 'begin': 0, 'pos': u'VERB', 'label': u'ROOT', 'content': u'Tell', 'lemma': u'Tell'}, {'index': 0, 'begin': 5, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'me', 'lemma': u'me', 'char': 'Peggy Carter'}, {'index': 3, 'begin': 8, 'pos': u'DET', 'label': u'NSUBJ', 'content': u'that', 'lemma': u'that'}, {'index': 0, 'begin': 13, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'is', 'lemma': u'be'}, {'index': 3, 'begin': 15, 'pos': u'ADV', 'label': u'NEG', 'content': u""n't"", 'lemma': u""n't""}, {'index': 7, 'begin': 19, 'pos': u'PRON', 'label': u'DEP', 'content': u'what', 'lemma': u'what', 'char': 'Lady'}, {'index': 7, 'begin': 24, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': 'Peggy Carter'}, {'index': 3, 'begin': 26, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'think', 'lemma': u'think'}, {'index': 9, 'begin': 32, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'it', 'lemma': u'it', 'char': 'Little Girl'}, {'index': 7, 'begin': 35, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'is', 'lemma': u'be'}, {'index': 0, 'begin': 37, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",4,-0.36,Dr. Hank Pym,Dr. Hank Pym,"['Howard Stark' 'Dr. Hank Pym' 'Peggy Carter' 'Dr. Hank Pym'
 'Mitchell Carson']"
6,Dr. Hank Pym,"It depends, if you think it's a poor attempt to replicate my work. Even for this group, that takes nerve.","[{'content': u""It depends, if you think it's a poor attempt to replicate my work."", 'begin': 0, 'score': -0.7, 'magnitude': 0.7}, {'content': u'Even for this group, that takes nerve.', 'begin': 67, 'score': -0.2, 'magnitude': 0.2}]","{'score': -0.5, 'magnitude': 1}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.88545346, 'name': u'attempt', 'mentions': [u'attempt']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.06954741, 'name': u'work', 'mentions': [u'work']}, {'type': u'ORGANIZATION', 'meta': {}, 'salience': 0.025298757, 'name': u'group', 'mentions': [u'group']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.019700347, 'name': u'nerve', 'mentions': [u'nerve']}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'It', 'lemma': u'It', 'char': 'John'}, {'index': 1, 'begin': 3, 'pos': u'VERB', 'label': u'ROOT', 'content': u'depends', 'lemma': u'depend'}, {'index': 1, 'begin': 10, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 5, 'begin': 12, 'pos': u'ADP', 'label': u'MARK', 'content': u'if', 'lemma': u'if'}, {'index': 5, 'begin': 15, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you', 'char': 'Mitchell Carson'}, {'index': 1, 'begin': 19, 'pos': u'VERB', 'label': u'ADVCL', 'content': u'think', 'lemma': u'think'}, {'index': 7, 'begin': 25, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'it', 'lemma': u'it', 'char': 'CaIisto'}, {'index': 5, 'begin': 27, 'pos': u'VERB', 'label': u'CCOMP', 'content': u""'s"", 'lemma': u'be'}, {'index': 10, 'begin': 30, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 10, 'begin': 32, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'poor', 'lemma': u'poor'}, {'index': 7, 'begin': 37, 'pos': u'NOUN', 'label': u'ATTR', 'content': u'attempt', 'lemma': u'attempt'}, {'index': 12, 'begin': 45, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 10, 'begin': 48, 'pos': u'VERB', 'label': u'VMOD', 'content': u'replicate', 'lemma': u'replicate'}, {'index': 14, 'begin': 58, 'pos': u'PRON', 'label': u'POSS', 'content': u'my', 'lemma': u'my', 'char': 'Dr. Hank Pym'}, {'index': 12, 'begin': 61, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'work', 'lemma': u'work'}, {'index': 1, 'begin': 65, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 17, 'begin': 67, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'Even', 'lemma': u'Even'}, {'index': 22, 'begin': 72, 'pos': u'ADP', 'label': u'PREP', 'content': u'for', 'lemma': u'for'}, {'index': 19, 'begin': 76, 'pos': u'DET', 'label': u'DET', 'content': u'this', 'lemma': u'this'}, {'index': 17, 'begin': 81, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'group', 'lemma': u'group'}, {'index': 22, 'begin': 86, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 22, 'begin': 88, 'pos': u'DET', 'label': u'NSUBJ', 'content': u'that', 'lemma': u'that'}, {'index': 22, 'begin': 93, 'pos': u'VERB', 'label': u'ROOT', 'content': u'takes', 'lemma': u'take'}, {'index': 22, 'begin': 99, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'nerve', 'lemma': u'nerve'}, {'index': 22, 'begin': 104, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",4,-0.5,Peggy Carter,Mitchell Carson,"['Dr. Hank Pym' 'Peggy Carter' 'Dr. Hank Pym' 'Mitchell Carson'
 'Dr. Hank Pym']"
7,Mitchell Carson,"You were instructed to go to Russia. May I remind you, Dr. Pym, that you're a soldier…","[{'content': u'You were instructed to go to Russia.', 'begin': 0, 'score': -0.2, 'magnitude': 0.2}, {'content': u""May I remind you, Dr. Pym, that you're a soldier\u2026"", 'begin': 37, 'score': 0.4, 'magnitude': 0.4}]","{'score': 0, 'magnitude': 0.7}","[{'type': u'PERSON', 'meta': {}, 'salience': 0.87446207, 'name': u'soldier', 'mentions': [u'soldier']}, {'type': u'PERSON', 'meta': {u'mid': u'/m/027clp', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Hank_Pym'}, 'salience': 0.07092855, 'name': u'Pym', 'mentions': [u'Pym', u'Dr.']}, {'type': u'LOCATION', 'meta': {u'mid': u'/m/06bnz', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Russia'}, 'salience': 0.054609373, 'name': u'Russia', 'mentions': [u'Russia']}]","[{'index': 2, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJPASS', 'content': u'You', 'lemma': u'You', 'char': 'Dr. Hank Pym'}, {'index': 2, 'begin': 4, 'pos': u'VERB', 'label': u'AUXPASS', 'content': u'were', 'lemma': u'be'}, {'index': 2, 'begin': 9, 'pos': u'VERB', 'label': u'ROOT', 'content': u'instructed', 'lemma': u'instruct'}, {'index': 4, 'begin': 20, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 2, 'begin': 23, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'go', 'lemma': u'go'}, {'index': 4, 'begin': 26, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 5, 'begin': 29, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Russia', 'lemma': u'Russia'}, {'index': 2, 'begin': 35, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 10, 'begin': 37, 'pos': u'VERB', 'label': u'AUX', 'content': u'May', 'lemma': u'May'}, {'index': 10, 'begin': 41, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': 'Mitchell Carson'}, {'index': 10, 'begin': 43, 'pos': u'VERB', 'label': u'ROOT', 'content': u'remind', 'lemma': u'remind'}, {'index': 10, 'begin': 50, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'you', 'lemma': u'you', 'char': 'Dr. Hank Pym'}, {'index': 10, 'begin': 53, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 14, 'begin': 55, 'pos': u'NOUN', 'label': u'TITLE', 'content': u'Dr.', 'lemma': u'Dr.'}, {'index': 10, 'begin': 59, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'Pym', 'lemma': u'Pym'}, {'index': 10, 'begin': 62, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 18, 'begin': 64, 'pos': u'ADP', 'label': u'MARK', 'content': u'that', 'lemma': u'that'}, {'index': 18, 'begin': 69, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you', 'char': 'Dr. Hank Pym'}, {'index': 10, 'begin': 72, 'pos': u'VERB', 'label': u'CCOMP', 'content': u""'re"", 'lemma': u'be'}, {'index': 20, 'begin': 76, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 18, 'begin': 78, 'pos': u'NOUN', 'label': u'ATTR', 'content': u'soldier', 'lemma': u'soldier'}, {'index': 10, 'begin': 85, 'pos': u'PUNCT', 'label': u'P', 'content': u'\u2026', 'lemma': u'\u2026'}]",4,0.0,Dr. Hank Pym,Dr. Hank Pym,"['Peggy Carter' 'Dr. Hank Pym' 'Mitchell Carson' 'Dr. Hank Pym'
 'Howard Stark']"
8,Dr. Hank Pym,I'm a scientist.,"[{'content': u""I'm a scientist."", 'begin': 0, 'score': 0.3, 'magnitude': 0.3}]","{'score': 0.3, 'magnitude': 0.3}","[{'type': u'PERSON', 'meta': {}, 'salience': 1, 'name': u'scientist', 'mentions': [u'scientist']}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I', 'char': 'Dr. Hank Pym'}, {'index': 1, 'begin': 1, 'pos': u'VERB', 'label': u'ROOT', 'content': u""'m"", 'lemma': u'be'}, {'index': 3, 'begin': 4, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 1, 'begin': 6, 'pos': u'NOUN', 'label': u'ATTR', 'content': u'scientist', 'lemma': u'scientist'}, {'index': 1, 'begin': 15, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",1,0.09,Mitchell Carson,Howard Stark,"['Dr. Hank Pym' 'Mitchell Carson' 'Dr. Hank Pym' 'Howard Stark'
 'Dr. Hank Pym']"
9,Howard Stark,"Then act like one. The Pym Particle is the most revolutionary science ever developed, help us put it to good use.","[{'content': u'Then act like one.', 'begin': 0, 'score': -0.4, 'magnitude': 0.4}, {'content': u'The Pym Particle is the most revolutionary science ever developed, help us put it to good use.', 'begin': 19, 'score': 0.7, 'magnitude': 0.7}]","{'score': 0.1, 'magnitude': 1.2}","[{'type': u'OTHER', 'meta': {}, 'salience': 0.6887065, 'name': u'science', 'mentions': [u'science']}, {'type': u'ORGANIZATION', 'meta': {}, 'salience': 0.19575371, 'name': u'Pym Particle', 'mentions': [u'Pym Particle']}, {'type': u'OTHER', 'meta': {}, 'salience': 0.11553975, 'name': u'use', 'mentions': [u'use']}]","[{'index': 1, 'begin': 0, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'Then', 'lemma': u'Then'}, {'index': 1, 'begin': 5, 'pos': u'VERB', 'label': u'ROOT', 'content': u'act', 'lemma': u'act'}, {'index': 1, 'begin': 9, 'pos': u'ADP', 'label': u'PREP', 'content': u'like', 'lemma': u'like'}, {'index': 2, 'begin': 14, 'pos': u'NUM', 'label': u'POBJ', 'content': u'one', 'lemma': u'one'}, {'index': 1, 'begin': 17, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 7, 'begin': 19, 'pos': u'DET', 'label': u'DET', 'content': u'The', 'lemma': u'The'}, {'index': 7, 'begin': 23, 'pos': u'NOUN', 'label': u'NN', 'content': u'Pym', 'lemma': u'Pym'}, {'index': 8, 'begin': 27, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Particle', 'lemma': u'Particle'}, {'index': 8, 'begin': 36, 'pos': u'VERB', 'label': u'ROOT', 'content': u'is', 'lemma': u'be'}, {'index': 12, 'begin': 39, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 11, 'begin': 43, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'most', 'lemma': u'most'}, {'index': 12, 'begin': 48, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'revolutionary', 'lemma': u'revolutionary'}, {'index': 16, 'begin': 62, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'science', 'lemma': u'science'}, {'index': 14, 'begin': 70, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'ever', 'lemma': u'ever'}, {'index': 12, 'begin': 75, 'pos': u'VERB', 'label': u'VMOD', 'content': u'developed', 'lemma': u'develop'}, {'index': 12, 'begin': 84, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 8, 'begin': 86, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'help', 'lemma': u'help'}, {'index': 18, 'begin': 91, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'us', 'lemma': u'us', 'char': 'Logan'}, {'index': 16, 'begin': 94, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'put', 'lemma': u'put'}, {'index': 18, 'begin': 98, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'it', 'lemma': u'it', 'char': 'Raven'}, {'index': 18, 'begin': 101, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 22, 'begin': 104, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'good', 'lemma': u'good'}, {'index': 20, 'begin': 109, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'use', 'lemma': u'use'}, {'index': 8, 'begin': 112, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]",2,0.12,Dr. Hank Pym,Dr. Hank Pym,"['Mitchell Carson' 'Dr. Hank Pym' 'Howard Stark' 'Dr. Hank Pym'
 'Mitchell Carson']"
